Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output CGST @ 9%,Output SGST @ 9%,Round Off,Output CGST @ 6%,Output SGST @ 6%,Output CGST @ 2.5%,Output SGST @ 2.5%,Output IGST @ 12%,Shipping Local GST @ 18%,Output IGST @ 18%,Output IGST @ 5%,Shipping Local GST @ 12%,Shipping Interstate GST @ 12%,Local GST Sales @ 5%,Local GST Sales @ 12%,Local GST Sales @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,11 Pr,1609.32/Pr,17702.52,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,1 Pr,1609.32/Pr,1609.32,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,1 Pr,1609.32/Pr,1609.32,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,1 Pr,1609.32/Pr,1609.32,,,,,,,,,,,,,,,,,,,,,
01-May-25,COD - Brigade Malleshwaram***,PSB25-26/INV-209,PSB25-26/INV-209,Being Sale of Goods - Accounted,116 Pr,,162020.00,191184.00 Dr,162020.00 Cr,14581.79 Cr,14581.79 Cr,0.42 Cr,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08C) - Black,,,,1 Pr,1185.59/Pr,1185.59,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,3 Pr,1185.59/Pr,3556.77,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,8 Pr,1185.59/Pr,9484.72,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,13 Pr,1185.59/Pr,15412.67,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,6 Pr,1185.59/Pr,7113.54,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,17 Pr,1185.59/Pr,20155.03,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,12 Pr,1482.20/Pr,17786.40,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,7 Pr,1482.20/Pr,10375.40,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,8 Pr,1482.20/Pr,11857.60,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,7 Pr,1482.20/Pr,10375.40,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,5 Pr,1609.32/Pr,8046.60,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,9 Pr,1609.32/Pr,14483.88,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,8 Pr,1609.32/Pr,12874.56,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,5 Pr,1609.32/Pr,8046.60,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,5 Pr,1609.32/Pr,8046.60,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,2 Pr,1609.32/Pr,3218.64,,,,,,,,,,,,,,,,,,,,,
01-May-25,De Sales Academy,PSB25-26/INV-210,PSB25-26/INV-210,Being Sale of Goods - Accounted,5 Pr,,5019.57,5815.00 Dr,5019.57 Cr,289.59 Cr,289.59 Cr,0.03 Cr,108.11 Cr,108.11 Cr,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,2 Pr,900.89/Pr,1801.78,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,1 Pr,1033.05/Pr,1033.05,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,1 Pr,1092.37/Pr,1092.37,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,1 Pr,1092.37/Pr,1092.37,,,,,,,,,,,,,,,,,,,,,
01-May-25,Delhi Public School - Whitefield,PSB25-26/INV-211,PSB25-26/INV-211,Being Sale of Goods - Accounted,289 Pr,,485135.54,572460.00 Dr,485135.54 Cr,43662.21 Cr,43662.21 Cr,0.04 Cr,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 C) - Black,,,,1 Pr,1380.51/Pr,1380.51,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,5 Pr,1380.51/Pr,6902.55,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,10 Pr,1380.51/Pr,13805.10,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,14 Pr,1380.51/Pr,19327.14,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,19 Pr,1380.51/Pr,26229.69,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,28 Pr,1380.51/Pr,38654.28,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,15 Pr,1651.69/Pr,24775.35,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,14 Pr,1651.69/Pr,23123.66,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,19 Pr,1651.69/Pr,31382.11,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,23 Pr,1651.69/Pr,37988.87,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,28 Pr,1855.08/Pr,51942.24,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,31 Pr,1855.08/Pr,57507.48,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,26 Pr,1855.08/Pr,48232.08,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,19 Pr,1855.08/Pr,35246.52,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,13 Pr,1855.08/Pr,24116.04,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,12 Pr,1855.08/Pr,22260.96,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,7 Pr,1855.08/Pr,12985.56,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 UK) - Black,,,,5 Pr,1855.08/Pr,9275.40,,,,,,,,,,,,,,,,,,,,,
02-May-25,R M SURESH & CO,PSB25-26/INV-212,PSB25-26/INV-212,Being Sale of Goods - Accounted,48 Pr,,56888.64,66207.00 Dr,56888.64 Cr,3738.26 Cr,3738.26 Cr,0.40 Dr,921.12 Cr,921.12 Cr,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 C) - Black,,,,2 Pr,959.52/Pr,1919.04,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08C) - Black,,,,2 Pr,959.52/Pr,1919.04,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,3 Pr,959.52/Pr,2878.56,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,3 Pr,959.52/Pr,2878.56,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,3 Pr,959.52/Pr,2878.56,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,1 Pr,959.52/Pr,959.52,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,2 Pr,959.52/Pr,1919.04,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,2 Pr,1224.51/Pr,2449.02,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,3 Pr,1224.51/Pr,3673.53,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,3 Pr,1224.51/Pr,3673.53,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,4 Pr,1322.51/Pr,5290.04,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,4 Pr,1322.51/Pr,5290.04,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,4 Pr,1322.51/Pr,5290.04,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,2 Pr,1322.51/Pr,2645.02,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,4 Pr,1322.51/Pr,5290.04,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,4 Pr,1322.51/Pr,5290.04,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,1 Pr,1322.51/Pr,1322.51,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 UK) - Black,,,,1 Pr,1322.51/Pr,1322.51,,,,,,,,,,,,,,,,,,,,,
