Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output CGST @ 9%,Output SGST @ 9%,Round Off,Output CGST @ 6%,Output SGST @ 6%,Output CGST @ 2.5%,Output SGST @ 2.5%,Output IGST @ 12%,Shipping Local GST @ 18%,Output IGST @ 18%,Output IGST @ 5%,Shipping Local GST @ 12%,Shipping Interstate GST @ 12%,Local GST Sales @ 5%,Local GST Sales @ 12%,Local GST Sales @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%
09-May-25,HITESH CREATIONS (J P NAGAR),PSB25-26/INV-263,PSB25-26/INV-263,Being Sale of Goods - Accounted,1 Pr,,1000.00,1180.00 Dr,1000.00 Cr,90.00 Cr,90.00 Cr,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,1 Pr,1000.00/Pr,1000.00,,,,,,,,,,,,,,,,,,,,,
09-May-25,HITESH CREATIONS (J P NAGAR),PSB25-26/INV-264,PSB25-26/INV-264,Being Sale of Goods - Accounted,17 Pr,,15088.00,16899.00 Dr,15088.00 Cr,,,0.44 Cr,905.28 Cr,905.28 Cr,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,1 Pr,740.00/Pr,740.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,3 Pr,968.00/Pr,2904.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - White,,,,5 Pr,740.00/Pr,3700.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - White,,,,3 Pr,968.00/Pr,2904.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - White,,,,5 Pr,968.00/Pr,4840.00,,,,,,,,,,,,,,,,,,,,,
12-May-25,Walk-King Shoe Company,PSB25-26/INV-265,PSB25-26/INV-265,Being Sale of Goods - Accounted,155 Pr,,215524.07,254318.00 Dr,215524.07 Cr,,,0.40 Dr,,,,,,,38794.33 Cr,,,,,,,,,
,Reebok Champion Shoe (Size 09 C) - Black,,,,2 Pr,1385.59/Pr,2771.18,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 10 C) - Black,,,,1 Pr,1385.59/Pr,1385.59,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 11 C) - Black,,,,1 Pr,1385.59/Pr,1385.59,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 12 C) - Black,,,,4 Pr,1385.59/Pr,5542.36,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 13 C) - Black,,,,13 Pr,1385.59/Pr,18012.67,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 01 Y) - Black,,,,28 Pr,1385.59/Pr,38796.52,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 02 Y) - Black,,,,28 Pr,1385.59/Pr,38796.52,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 03 Y) - Black,,,,23 Pr,1385.59/Pr,31868.57,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 04 Y) - Black,,,,22 Pr,1385.59/Pr,30482.98,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 05 Y) - Black,,,,14 Pr,1385.59/Pr,19398.26,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 06 Y) - Black,,,,13 Pr,1385.59/Pr,18012.67,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 07 US) - Black,,,,4 Pr,1511.86/Pr,6047.44,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 08 US) - Black,,,,2 Pr,1511.86/Pr,3023.72,,,,,,,,,,,,,,,,,,,,,
12-May-25,Walk-King Shoe Company,PSB25-26/INV-266,PSB25-26/INV-266,Being Sale of Goods - Accounted,639 Pr,,911908.71,1076052.00 Dr,911908.71 Cr,,,0.26 Dr,,,,,,,164143.55 Cr,,,,,,,,,
,Reebok Champion Shoe (Size 13 C) - Black,,,,8 Pr,1385.59/Pr,11084.72,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 01 Y) - Black,,,,35 Pr,1385.59/Pr,48495.65,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 02 Y) - Black,,,,63 Pr,1385.59/Pr,87292.17,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 03 Y) - Black,,,,57 Pr,1385.59/Pr,78978.63,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 04 Y) - Black,,,,81 Pr,1385.59/Pr,112232.79,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 05 Y) - Black,,,,102 Pr,1385.59/Pr,141330.18,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 06 Y) - Black,,,,83 Pr,1385.59/Pr,115003.97,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 07 US) - Black,,,,91 Pr,1511.86/Pr,137579.26,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 08 US) - Black,,,,55 Pr,1511.86/Pr,83152.30,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 09 US) - Black,,,,33 Pr,1511.86/Pr,49891.38,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 10 US) - Black,,,,12 Pr,1511.86/Pr,18142.32,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 11 US) - Black,,,,13 Pr,1511.86/Pr,19654.18,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 12 US) - Black,,,,5 Pr,1511.86/Pr,7559.30,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 13 US) - Black,,,,1 Pr,1511.86/Pr,1511.86,,,,,,,,,,,,,,,,,,,,,
12-May-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-267,PSB25-26/INV-267,Being Sale of Goods - Accounted,84 Pr,,101070.00,119263.00 Dr,101070.00 Cr,,,0.40 Cr,,,,,,,18192.60 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - White,,,,4 Pr,1125.00/Pr,4500.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - White,,,,7 Pr,1125.00/Pr,7875.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - White,,,,10 Pr,1215.00/Pr,12150.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - White,,,,17 Pr,1215.00/Pr,20655.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - White,,,,16 Pr,1215.00/Pr,19440.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - White,,,,9 Pr,1215.00/Pr,10935.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - White,,,,11 Pr,1215.00/Pr,13365.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 UK) - White,,,,10 Pr,1215.00/Pr,12150.00,,,,,,,,,,,,,,,,,,,,,
12-May-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-268,PSB25-26/INV-268,Being Sale of Goods - Accounted,43 Pr,,38700.00,43344.00 Dr,38700.00 Cr,,,,,,,,4644.00 Cr,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,3 Pr,900.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,8 Pr,900.00/Pr,7200.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,25 Pr,900.00/Pr,22500.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,7 Pr,900.00/Pr,6300.00,,,,,,,,,,,,,,,,,,,,,
12-May-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-269,PSB25-26/INV-269,Being Sale of Goods - Accounted,5 Pr,,5625.00,6638.00 Dr,5625.00 Cr,,,0.50 Cr,,,,,,,1012.50 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,5 Pr,1125.00/Pr,5625.00,,,,,,,,,,,,,,,,,,,,,
12-May-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-270,PSB25-26/INV-270,Being Sale of Goods - Accounted,8 Pr,,7425.00,8384.00 Dr,7425.00 Cr,,,0.50 Cr,,,,,756.00 Cr,,202.50 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,7 Pr,900.00/Pr,6300.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,1 Pr,1125.00/Pr,1125.00,,,,,,,,,,,,,,,,,,,,,
12-May-25,Walk-King Shoe Company,PSB25-26/INV-271,PSB25-26/INV-271,Being Sale of Goods - Accounted,864 Pr,,983016.00,1159959.00 Dr,983016.00 Cr,,,0.12 Cr,,,,,,,176942.88 Cr,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 C) - Black,,,,12 Pr,1107.00/Pr,13284.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 C) - Black,,,,24 Pr,1107.00/Pr,26568.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 C) - Black,,,,36 Pr,1107.00/Pr,39852.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,48 Pr,1107.00/Pr,53136.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,84 Pr,1107.00/Pr,92988.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,108 Pr,1107.00/Pr,119556.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,108 Pr,1107.00/Pr,119556.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,84 Pr,1107.00/Pr,92988.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,72 Pr,1107.00/Pr,79704.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,72 Pr,1107.00/Pr,79704.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,72 Pr,1230.00/Pr,88560.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,48 Pr,1230.00/Pr,59040.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,36 Pr,1230.00/Pr,44280.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,36 Pr,1230.00/Pr,44280.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,24 Pr,1230.00/Pr,29520.00,,,,,,,,,,,,,,,,,,,,,
12-May-25,GoScholar,PSB25-26/INV-272,PSB25-26/INV-272,Being Sale of Goods - Accounted,21 Pr,,18413.00,20623.00 Dr,18413.00 Cr,,,0.44 Cr,,,,,2209.56 Cr,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,2 Pr,844.00/Pr,1688.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,3 Pr,844.00/Pr,2532.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,3 Pr,844.00/Pr,2532.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,3 Pr,897.00/Pr,2691.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,3 Pr,897.00/Pr,2691.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,1 Pr,897.00/Pr,897.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,3 Pr,897.00/Pr,2691.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,2 Pr,897.00/Pr,1794.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,1 Pr,897.00/Pr,897.00,,,,,,,,,,,,,,,,,,,,,
12-May-25,GoScholar,PSB25-26/INV-273,PSB25-26/INV-273,Being Sale of Goods - Accounted,96 Pr,,81252.00,91002.00 Dr,81252.00 Cr,,,0.24 Dr,,,,,9750.24 Cr,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,1 Pr,686.00/Pr,686.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,5 Pr,686.00/Pr,3430.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,10 Pr,686.00/Pr,6860.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,12 Pr,844.00/Pr,10128.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,8 Pr,844.00/Pr,6752.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,8 Pr,844.00/Pr,6752.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,8 Pr,897.00/Pr,7176.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,8 Pr,897.00/Pr,7176.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,12 Pr,897.00/Pr,10764.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,12 Pr,897.00/Pr,10764.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,8 Pr,897.00/Pr,7176.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,2 Pr,897.00/Pr,1794.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,1 Pr,897.00/Pr,897.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 UK) - Black,,,,1 Pr,897.00/Pr,897.00,,,,,,,,,,,,,,,,,,,,,
12-May-25,ELEMENTS BRAND MERCHANDISING,PSB25-26/INV-274,PSB25-26/INV-274,Being Sale of Goods - Accounted,1 Pr,,863.00,967.00 Dr,863.00 Cr,,,0.44 Cr,,,,,103.56 Cr,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,1 Pr,863.00/Pr,863.00,,,,,,,,,,,,,,,,,,,,,
13-May-25,Mr. Shiju,PSB25-26/INV-275,PSB25-26/INV-275,Being Sale of Goods - Accounted,1 Pr,,1.00,1.00 Dr,1.00 Cr,,,0.12 Dr,0.06 Cr,0.06 Cr,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,
13-May-25,KALS School,PSB25-26/INV-276,PSB25-26/INV-276,Being Sale of Goods - Accounted,110 Pr,,163042.00,192390.00 Dr,163042.00 Cr,14673.78 Cr,14673.78 Cr,0.44 Cr,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,5 Pr,1482.20/Pr,7411.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,15 Pr,1482.20/Pr,22233.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,15 Pr,1482.20/Pr,22233.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,25 Pr,1482.20/Pr,37055.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,25 Pr,1482.20/Pr,37055.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,15 Pr,1482.20/Pr,22233.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 UK) - Black,,,,10 Pr,1482.20/Pr,14822.00,,,,,,,,,,,,,,,,,,,,,
13-May-25,KALS School,PSB25-26/INV-277,PSB25-26/INV-277,Being Sale of Goods - Accounted,1 Pr,,1.00,1.00 Dr,1.00 Cr,,,0.12 Dr,0.06 Cr,0.06 Cr,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - White,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,
13-May-25,Uniform Central,PSB25-26/INV-278,PSB25-26/INV-278,Being Sale of Goods - Accounted,44 Pr,,59184.00,69837.00 Dr,59184.00 Cr,5326.56 Cr,5326.56 Cr,0.12 Dr,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 C) - Black,,,,4 Pr,1296.00/Pr,5184.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 C) - Black,,,,4 Pr,1296.00/Pr,5184.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,3 Pr,1296.00/Pr,3888.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,4 Pr,1296.00/Pr,5184.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,3 Pr,1296.00/Pr,3888.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,1 Pr,1296.00/Pr,1296.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,3 Pr,1296.00/Pr,3888.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,4 Pr,1296.00/Pr,5184.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,3 Pr,1296.00/Pr,3888.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,4 Pr,1440.00/Pr,5760.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,6 Pr,1440.00/Pr,8640.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,2 Pr,1440.00/Pr,2880.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,3 Pr,1440.00/Pr,4320.00,,,,,,,,,,,,,,,,,,,,,
13-May-25,Uniform Central,PSB25-26/INV-279,PSB25-26/INV-279,Being Sale of Goods - Accounted,34 Pr,,41200.00,48616.00 Dr,41200.00 Cr,3708.00 Cr,3708.00 Cr,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08C) - Black,,,,1 Pr,1000.00/Pr,1000.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,2 Pr,1000.00/Pr,2000.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,3 Pr,1000.00/Pr,3000.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,2 Pr,1000.00/Pr,2000.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,1 Pr,1000.00/Pr,1000.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,3 Pr,1000.00/Pr,3000.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,2 Pr,1250.00/Pr,2500.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,3 Pr,1250.00/Pr,3750.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,6 Pr,1350.00/Pr,8100.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,4 Pr,1350.00/Pr,5400.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,3 Pr,1350.00/Pr,4050.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,
13-May-25,(cancelled ),PSB25-26/INV-280,PSB25-26/INV-280,Being Sale of Goods - Accounted,,,,,,,,,,,,,,,,,,,,,,,,
13-May-25,V A Sports,PSB25-26/INV-281,PSB25-26/INV-281,Being Sale of Goods - Accounted,838 Pr,,150840.00,158382.00 Dr,150840.00 Cr,,,,,,3771.00 Cr,3771.00 Cr,,,,,,,,,,,,
,White Crew Socks with Grey Rings (P/3) - M,,,,240 Pr,180.00/Pr,43200.00,,,,,,,,,,,,,,,,,,,,,
,White Crew Socks with Grey Rings (P/3) - L,,,,224 Pr,180.00/Pr,40320.00,,,,,,,,,,,,,,,,,,,,,
,White Crew Socks with Grey Rings (P/3) - XL,,,,114 Pr,180.00/Pr,20520.00,,,,,,,,,,,,,,,,,,,,,
,White Crew Socks with Grey Rings (P/3) - XXL,,,,60 Pr,180.00/Pr,10800.00,,,,,,,,,,,,,,,,,,,,,
,White Crew Socks with Pink Rings (P/3) - S,,,,100 Pr,180.00/Pr,18000.00,,,,,,,,,,,,,,,,,,,,,
,White Crew Socks with Pink Rings (P/3) - M,,,,100 Pr,180.00/Pr,18000.00,,,,,,,,,,,,,,,,,,,,,
14-May-25,"DAC'S INC .,",PSB25-26/INV-282,PSB25-26/INV-282,Being Sale of Goods - Accounted,281 Pr,,316416.00,366747.00 Dr,316416.00 Cr,18541.44 Cr,18541.44 Cr,0.12 Cr,6624.00 Cr,6624.00 Cr,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,15 Pr,960.00/Pr,14400.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,20 Pr,960.00/Pr,19200.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,20 Pr,960.00/Pr,19200.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,30 Pr,960.00/Pr,28800.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,30 Pr,960.00/Pr,28800.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,30 Pr,1200.00/Pr,36000.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,30 Pr,1200.00/Pr,36000.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,20 Pr,1200.00/Pr,24000.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,15 Pr,1200.00/Pr,18000.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,20 Pr,1296.00/Pr,25920.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,30 Pr,1296.00/Pr,38880.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,15 Pr,1296.00/Pr,19440.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,6 Pr,1296.00/Pr,7776.00,,,,,,,,,,,,,,,,,,,,,
14-May-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-283,PSB25-26/INV-283,Being Sale of Goods - Accounted,17 Pr,,20655.00,24373.00 Dr,20655.00 Cr,,,0.10 Cr,,,,,,,3717.90 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,17 Pr,1215.00/Pr,20655.00,,,,,,,,,,,,,,,,,,,,,
14-May-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-284,PSB25-26/INV-284,Being Sale of Goods - Accounted,19 Pr,,21375.00,25223.00 Dr,21375.00 Cr,,,0.50 Cr,,,,,,,3847.50 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,19 Pr,1125.00/Pr,21375.00,,,,,,,,,,,,,,,,,,,,,
14-May-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-285,PSB25-26/INV-285,Being Sale of Goods - Accounted,47 Pr,,57105.00,67384.00 Dr,57105.00 Cr,,,0.10 Cr,,,,,,,10278.90 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,47 Pr,1215.00/Pr,57105.00,,,,,,,,,,,,,,,,,,,,,
14-May-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-286,PSB25-26/INV-286,Being Sale of Goods - Accounted,99 Pr,,113355.00,133759.00 Dr,113355.00 Cr,,,0.10 Cr,,,,,,,20403.90 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,51 Pr,1125.00/Pr,57375.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,26 Pr,1125.00/Pr,29250.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,22 Pr,1215.00/Pr,26730.00,,,,,,,,,,,,,,,,,,,,,
14-May-25,ETERNAL TRADING CO,PSB25-26/INV-287,PSB25-26/INV-287,Being Sale of Goods - Accounted,259 Pr,,295236.50,345400.00 Dr,295236.50 Cr,,,0.11 Cr,,,,,5958.36 Cr,,44205.03 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,4 Pr,919.50/Pr,3678.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,14 Pr,919.50/Pr,12873.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,36 Pr,919.50/Pr,33102.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,30 Pr,1149.50/Pr,34485.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,36 Pr,1149.50/Pr,41382.00,,,,,,,,,,,,,,,,,,,,,
