Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 5%,Round Off,Output CGST @ 2.5%,Output SGST @ 2.5%,Shipping Local GST @ 18%,Output CGST @ 9%,Output SGST @ 9%
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,1 Pr,900.00/Pr,900.00,,,,,,,,,
24-Oct-25,Nspira Management Services Pvt. Ltd (B),PSB2526/INV-1168,PSB2526/INV-1168,Being Sale of Goods - Accounted,21 Pr,,33974.32,35673.00 Dr,33974.32 Cr,,0.04 Dr,849.36 Cr,849.36 Cr,,,
,Reebok Prodigy Shoe - Black,,,,20 Pr,1615.24/Pr,32304.80,,,,,,,,,
,Reebok Prodigy Shoe - Black,,,,1 Pr,1669.52/Pr,1669.52,,,,,,,,,
24-Oct-25,Nspira Management Services Pvt. Ltd (B),PSB2526/INV-1169,PSB2526/INV-1169,Being Sale of Goods - Accounted,23 Pr,,37421.92,39293.00 Dr,37421.92 Cr,,0.02 Dr,935.55 Cr,935.55 Cr,,,
,Reebok Prodigy Shoe - Black,,,,18 Pr,1615.24/Pr,29074.32,,,,,,,,,
,Reebok Prodigy Shoe - Black,,,,5 Pr,1669.52/Pr,8347.60,,,,,,,,,
24-Oct-25,Nspira Management Services Pvt. Ltd (B),PSB2526/INV-1170,PSB2526/INV-1170,Being Sale of Goods - Accounted,27 Pr,,44208.56,46419.00 Dr,44208.56 Cr,,,1105.22 Cr,1105.22 Cr,,,
,Reebok Prodigy Shoe - Black,,,,16 Pr,1615.24/Pr,25843.84,,,,,,,,,
,Reebok Prodigy Shoe - Black,,,,11 Pr,1669.52/Pr,18364.72,,,,,,,,,
24-Oct-25,Nspira Management Services Pvt. Ltd (B),PSB2526/INV-1171,PSB2526/INV-1171,Being Sale of Goods - Accounted,20 Pr,,32467.64,34091.00 Dr,32467.64 Cr,,0.02 Dr,811.69 Cr,811.69 Cr,,,
,Reebok Prodigy Shoe - Black,,,,17 Pr,1615.24/Pr,27459.08,,,,,,,,,
,Reebok Prodigy Shoe - Black,,,,3 Pr,1669.52/Pr,5008.56,,,,,,,,,
24-Oct-25,Nspira Management Services Pvt. Ltd (B),PSB2526/INV-1172,PSB2526/INV-1172,Being Sale of Goods - Accounted,6 Pr,,9691.44,10176.00 Dr,9691.44 Cr,,0.02 Dr,242.29 Cr,242.29 Cr,,,
,Reebok Prodigy Shoe - Black,,,,6 Pr,1615.24/Pr,9691.44,,,,,,,,,
24-Oct-25,Nspira Management Services Pvt. Ltd (B),PSB2526/INV-1173,PSB2526/INV-1173,Being Sale of Goods - Accounted,23 Pr,,37421.92,39293.00 Dr,37421.92 Cr,,0.02 Dr,935.55 Cr,935.55 Cr,,,
,Reebok Prodigy Shoe - Black,,,,18 Pr,1615.24/Pr,29074.32,,,,,,,,,
,Reebok Prodigy Shoe - Black,,,,5 Pr,1669.52/Pr,8347.60,,,,,,,,,
24-Oct-25,Nspira Management Services Pvt. Ltd (B),PSB2526/INV-1174,PSB2526/INV-1174,Being Sale of Goods - Accounted,8 Pr,,12921.92,13568.00 Dr,12921.92 Cr,,0.02 Dr,323.05 Cr,323.05 Cr,,,
,Reebok Prodigy Shoe - Black,,,,8 Pr,1615.24/Pr,12921.92,,,,,,,,,
24-Oct-25,Nspira Management Services Pvt. Ltd (B),PSB2526/INV-1175,PSB2526/INV-1175,Being Sale of Goods - Accounted,31 Pr,,50452.40,52975.00 Dr,50452.40 Cr,,0.02 Dr,1261.31 Cr,1261.31 Cr,,,
,Reebok Prodigy Shoe - Black,,,,24 Pr,1615.24/Pr,38765.76,,,,,,,,,
,Reebok Prodigy Shoe - Black,,,,7 Pr,1669.52/Pr,11686.64,,,,,,,,,
24-Oct-25,Nspira Management Services Pvt. Ltd (B),PSB2526/INV-1176,PSB2526/INV-1176,Being Sale of Goods - Accounted,1 Pr,,1669.52,1753.00 Dr,1669.52 Cr,,,41.74 Cr,41.74 Cr,,,
,Reebok Prodigy Shoe - Black,,,,1 Pr,1669.52/Pr,1669.52,,,,,,,,,
24-Oct-25,Nspira Management Services Pvt. Ltd (B),PSB2526/INV-1177,PSB2526/INV-1177,Being Sale of Goods - Accounted,6 Pr,,9800.00,10290.00 Dr,9800.00 Cr,,,245.00 Cr,245.00 Cr,,,
,Reebok Prodigy Shoe - Black,,,,4 Pr,1615.24/Pr,6460.96,,,,,,,,,
,Reebok Prodigy Shoe - Black,,,,2 Pr,1669.52/Pr,3339.04,,,,,,,,,
24-Oct-25,Nspira Management Services Pvt. Ltd (B),PSB2526/INV-1178,PSB2526/INV-1178,Being Sale of Goods - Accounted,9 Pr,,14645.72,15378.00 Dr,14645.72 Cr,,0.02 Dr,366.15 Cr,366.15 Cr,,,
,Reebok Prodigy Shoe - Black,,,,7 Pr,1615.24/Pr,11306.68,,,,,,,,,
,Reebok Prodigy Shoe - Black,,,,2 Pr,1669.52/Pr,3339.04,,,,,,,,,
24-Oct-25,Nspira Management Services Pvt. Ltd (B),PSB2526/INV-1179,PSB2526/INV-1179,Being Sale of Goods - Accounted,1 Pr,,1669.52,1753.00 Dr,1669.52 Cr,,,41.74 Cr,41.74 Cr,,,
,Reebok Prodigy Shoe - Black,,,,1 Pr,1669.52/Pr,1669.52,,,,,,,,,
24-Oct-25,Nspira Management Services Pvt. Ltd (B),PSB2526/INV-1180,PSB2526/INV-1180,Being Sale of Goods - Accounted,1 Pr,,1615.24,1696.00 Dr,1615.24 Cr,,,40.38 Cr,40.38 Cr,,,
,Reebok Prodigy Shoe - Black,,,,1 Pr,1615.24/Pr,1615.24,,,,,,,,,
24-Oct-25,Nspira Management Services Pvt. Ltd (B),PSB2526/INV-1181,PSB2526/INV-1181,Being Sale of Goods - Accounted,2 Pr,,3339.04,3506.00 Dr,3339.04 Cr,,,83.48 Cr,83.48 Cr,,,
,Reebok Prodigy Shoe - Black,,,,2 Pr,1669.52/Pr,3339.04,,,,,,,,,
24-Oct-25,Nspira Management Services Pvt. Ltd (B),PSB2526/INV-1182,PSB2526/INV-11812,Being Sale of Goods - Accounted,2 Pr,,3230.48,3392.00 Dr,3230.48 Cr,,,80.76 Cr,80.76 Cr,,,
,Reebok Prodigy Shoe - Black,,,,2 Pr,1615.24/Pr,3230.48,,,,,,,,,
24-Oct-25,Nspira Management Services Pvt. Ltd (B),PSB2526/INV-1183,PSB2526/INV-1183,Being Sale of Goods - Accounted,1 Pr,,1669.52,1753.00 Dr,1669.52 Cr,,,41.74 Cr,41.74 Cr,,,
,Reebok Prodigy Shoe - Black,,,,1 Pr,1669.52/Pr,1669.52,,,,,,,,,
24-Oct-25,Walk-King Shoe Company,PSB2526/INV-1184,PSB2526/INV-1184,Being Sale of Goods - Accounted,2 Pr,,2214.00,2325.00 Dr,2214.00 Cr,110.70 Cr,0.30 Cr,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,1 Pr,1107.00/Pr,1107.00,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,1 Pr,1107.00/Pr,1107.00,,,,,,,,,
24-Oct-25,Mr. ROHIT BADHWAR,PSB2526/INV-1185,PSB2526/INV-1185,Being Sale of Goods - Accounted,8 Pr,,11040.00,11592.00 Dr,11040.00 Cr,552.00 Cr,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - White,,,,8 Pr,1380.00/Pr,11040.00,,,,,,,,,
25-Oct-25,"Lighthouse Learning Pvt Ltd.,",PSB2526/INV-1186,PSB2526/INV-1186,Being Sale of Goods - Accounted,412 Pr,,407468.00,427841.00 Dr,407468.00 Cr,20373.40 Cr,0.40 Dr,,,,,
,Plaeto Nova School Shoes (Size 09 C) - Grey / Blue,,,,2 Pr,989.00/Pr,1978.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Grey / Blue,,,,100 Pr,989.00/Pr,98900.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Grey / Blue,,,,147 Pr,989.00/Pr,145383.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Grey / Blue,,,,163 Pr,989.00/Pr,161207.00,,,,,,,,,
27-Oct-25,ELEMENTS BRAND MERCHANDISING,PSB2526/INV-1187,PSB2526/INV-1187,Being Sale of Goods - Accounted,1 Pr,,1296.00,1361.00 Dr,1296.00 Cr,64.80 Cr,0.20 Cr,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,1 Pr,1296.00/Pr,1296.00,,,,,,,,,
,Grand Total,,,,,,1790696.63,1880551.00 Dr,1790696.63 Cr,55675.75 Cr,0.64 Dr,16929.64 Cr,16929.64 Cr,271.18 Cr,24.40 Cr,24.40 Cr
