Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 5%,Round Off,Output CGST @ 2.5%,Output SGST @ 2.5%,Shipping Local GST @ 18%,Output CGST @ 9%,Output SGST @ 9%
07-Oct-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1137,PSB2526/INV-1137,Being Sale of Goods - Accounted,9 Pr,,7537.14,7914.00 Dr,7537.14 Cr,376.86 Cr,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,3 Pr,867.62/Pr,2602.86,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,1 Pr,867.62/Pr,867.62,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,2 Pr,867.62/Pr,1735.24,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,1 Pr,921.90/Pr,921.90,,,,,,,,,
07-Oct-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1138,PSB2526/INV-1138,Being Sale of Goods - Accounted,25 Pr,,20604.74,21635.00 Dr,20604.74 Cr,1030.22 Cr,0.04 Cr,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,3 Pr,704.76/Pr,2114.28,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,3 Pr,704.76/Pr,2114.28,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,3 Pr,867.62/Pr,2602.86,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,3 Pr,867.62/Pr,2602.86,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,3 Pr,867.62/Pr,2602.86,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,4 Pr,867.62/Pr,3470.48,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,2 Pr,921.90/Pr,1843.80,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,2 Pr,921.90/Pr,1843.80,,,,,,,,,
07-Oct-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1139,PSB2526/INV-1139,Being Sale of Goods - Accounted,6 Pr,,5097.14,5352.00 Dr,5097.14 Cr,254.86 Cr,,,,,,
