Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 18%,Round Off,Output CGST @ 6%,Output SGST @ 6%,Shipping Local GST @ 12%,Output IGST @ 12%,Output CGST @ 9%,Output SGST @ 9%,Output CGST @ 2.5%,Output SGST @ 2.5%,Output IGST @ 5%,Shipping Local GST @ 18%,Shipping Interstate GST @ 12%,Input IGST @ 18%,Input SGST @ 6%,Local GST Sales @ 5%,Local GST Sales @ 12%,Local GST Sales @ 18%,Interstate GST Sales @ 18%
02-Apr-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-001,PSB25-26/INV-001,Being Sale of Goods - Accounted,612 Pr,,717660.00,846839.00 Dr,717660.00 Cr,129178.80 Cr,0.20 Cr,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,72 Pr,1125.00/Pr,81000.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,84 Pr,1125.00/Pr,94500.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,132 Pr,1125.00/Pr,148500.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,144 Pr,1215.00/Pr,174960.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,180 Pr,1215.00/Pr,218700.00,,,,,,,,,,,,,,,,,,,,,
02-Apr-25,HITESH CREATIONS (J P NAGAR),PSB25-26/INV-002,PSB25-26/INV-002,Being Sale of Goods - Accounted,207 Pr,,179400.00,200928.00 Dr,179400.00 Cr,,,10764.00 Cr,10764.00 Cr,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,10 Pr,740.00/Pr,7400.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,10 Pr,740.00/Pr,7400.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,10 Pr,740.00/Pr,7400.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,20 Pr,740.00/Pr,14800.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,22 Pr,740.00/Pr,16280.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,20 Pr,911.00/Pr,18220.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,20 Pr,911.00/Pr,18220.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,20 Pr,911.00/Pr,18220.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,20 Pr,911.00/Pr,18220.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,10 Pr,968.00/Pr,9680.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,10 Pr,968.00/Pr,9680.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,10 Pr,968.00/Pr,9680.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,10 Pr,968.00/Pr,9680.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,10 Pr,968.00/Pr,9680.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,5 Pr,968.00/Pr,4840.00,,,,,,,,,,,,,,,,,,,,,
02-Apr-25,HITESH CREATIONS (J P NAGAR),PSB25-26/INV-003,PSB25-26/INV-003,Being Sale of Goods - Accounted,197 Pr,,170290.00,190725.00 Dr,170290.00 Cr,,0.20 Cr,10217.40 Cr,10217.40 Cr,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - White,,,,10 Pr,740.00/Pr,7400.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - White,,,,10 Pr,740.00/Pr,7400.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - White,,,,10 Pr,740.00/Pr,7400.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - White,,,,20 Pr,740.00/Pr,14800.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - White,,,,22 Pr,740.00/Pr,16280.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - White,,,,20 Pr,911.00/Pr,18220.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - White,,,,20 Pr,911.00/Pr,18220.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - White,,,,10 Pr,911.00/Pr,9110.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - White,,,,20 Pr,911.00/Pr,18220.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - White,,,,10 Pr,968.00/Pr,9680.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - White,,,,10 Pr,968.00/Pr,9680.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - White,,,,10 Pr,968.00/Pr,9680.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - White,,,,10 Pr,968.00/Pr,9680.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - White,,,,10 Pr,968.00/Pr,9680.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - White,,,,5 Pr,968.00/Pr,4840.00,,,,,,,,,,,,,,,,,,,,,
02-Apr-25,HITESH CREATIONS (J P NAGAR),PSB25-26/INV-004,PSB25-26/INV-004,Being Sale of Goods - Accounted,1 Pr,,911.00,1095.00 Dr,911.00 Cr,,0.32 Dr,58.68 Cr,58.68 Cr,66.96 Cr,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,1 Pr,911.00/Pr,911.00,,,,,,,,,,,,,,,,,,,,,
02-Apr-25,ETERNAL TRADING CO,PSB25-26/INV-005,PSB25-26/INV-005,Being Sale of Goods - Accounted,599 Pr,,400223.96,448251.00 Dr,400223.96 Cr,,0.15 Cr,,,,48026.89 Cr,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 12 C) - Black,,,,72 Pr,632.68/Pr,45552.96,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 13 C) - Black,,,,72 Pr,632.68/Pr,45552.96,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 01 UK) - Black,,,,72 Pr,632.68/Pr,45552.96,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 02 UK) - Black,,,,19 Pr,632.68/Pr,12020.92,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 03 UK) - Black,,,,54 Pr,632.68/Pr,34164.72,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 04 UK) - Black,,,,72 Pr,632.68/Pr,45552.96,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 05 UK) - Black,,,,53 Pr,721.96/Pr,38263.88,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 06 UK) - Black,,,,72 Pr,721.96/Pr,51981.12,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 07 UK) - Black,,,,72 Pr,721.96/Pr,51981.12,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 08 UK) - Black,,,,17 Pr,721.96/Pr,12273.32,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 09 UK) - Black,,,,6 Pr,721.96/Pr,4331.76,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 10 UK) - Black,,,,6 Pr,721.96/Pr,4331.76,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 11 UK) - Black,,,,6 Pr,721.96/Pr,4331.76,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 12 UK) - Black,,,,6 Pr,721.96/Pr,4331.76,,,,,,,,,,,,,,,,,,,,,
02-Apr-25,D S APPARELS,PSB25-26/INV-006,PSB25-26/INV-006,Being Sale of Goods - Accounted,9 Pr,,7923.76,8875.00 Dr,7923.76 Cr,,0.40 Cr,475.42 Cr,475.42 Cr,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,1 Pr,910.18/Pr,910.18,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - White,,,,1 Pr,695.89/Pr,695.89,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - White,,,,1 Pr,856.61/Pr,856.61,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - White,,,,3 Pr,910.18/Pr,2730.54,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - White,,,,1 Pr,910.18/Pr,910.18,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - White,,,,1 Pr,910.18/Pr,910.18,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - White,,,,1 Pr,910.18/Pr,910.18,,,,,,,,,,,,,,,,,,,,,
02-Apr-25,H AND M ENTERPRISES (DPS),PSB25-26/INV-007,PSB25-26/INV-007,Being Sale of Goods - Accounted,290 Pr,,315680.00,368264.00 Dr,315680.00 Cr,,,4238.40 Cr,4238.40 Cr,,,22053.60 Cr,22053.60 Cr,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 C) - Black,,,,5 Pr,883.00/Pr,4415.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08C) - Black,,,,5 Pr,883.00/Pr,4415.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,10 Pr,883.00/Pr,8830.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,10 Pr,883.00/Pr,8830.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,10 Pr,883.00/Pr,8830.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,20 Pr,883.00/Pr,17660.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,20 Pr,883.00/Pr,17660.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,20 Pr,1104.00/Pr,22080.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,20 Pr,1104.00/Pr,22080.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,20 Pr,1104.00/Pr,22080.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,20 Pr,1192.00/Pr,23840.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,20 Pr,1192.00/Pr,23840.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,20 Pr,1192.00/Pr,23840.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,20 Pr,1192.00/Pr,23840.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,20 Pr,1192.00/Pr,23840.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,20 Pr,1192.00/Pr,23840.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,20 Pr,1192.00/Pr,23840.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 UK) - Black,,,,10 Pr,1192.00/Pr,11920.00,,,,,,,,,,,,,,,,,,,,,
03-Apr-25,ETERNAL TRADING CO,PSB25-26/INV-008,PSB25-26/INV-008,Being Sale of Goods - Accounted,544 Pr,,634528.00,746867.00 Dr,634528.00 Cr,108587.70 Cr,0.26 Dr,,,,3751.56 Cr,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,34 Pr,919.50/Pr,31263.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,95 Pr,1149.50/Pr,109202.50,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,65 Pr,1149.50/Pr,74717.50,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,75 Pr,1149.50/Pr,86212.50,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,90 Pr,1149.50/Pr,103455.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,70 Pr,1241.50/Pr,86905.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,115 Pr,1241.50/Pr,142772.50,,,,,,,,,,,,,,,,,,,,,
03-Apr-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-009,PSB25-26/INV-009,Being Sale of Goods - Accounted,75 Pr,,71730.00,81347.00 Dr,71730.00 Cr,3029.40 Cr,0.40 Dr,,,,6588.00 Cr,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - White,,,,22 Pr,900.00/Pr,19800.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - White,,,,39 Pr,900.00/Pr,35100.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - White,,,,2 Pr,1125.00/Pr,2250.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - White,,,,12 Pr,1215.00/Pr,14580.00,,,,,,,,,,,,,,,,,,,,,
03-Apr-25,ELEMENTS BRAND MERCHANDISING,PSB25-26/INV-010,PSB25-26/INV-010,Being Sale of Goods - Accounted,3 Pr,,2103.00,2355.00 Dr,2103.00 Cr,,0.36 Dr,,,,252.36 Cr,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,3 Pr,701.00/Pr,2103.00,,,,,,,,,,,,,,,,,,,,,
03-Apr-25,Walk-King Shoe Company,PSB25-26/INV-011,PSB25-26/INV-011,"
",11 Pr,,16630.46,19624.00 Dr,16630.46 Cr,2993.48 Cr,0.06 Cr,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 08 US) - Black,,,,11 Pr,1511.86/Pr,16630.46,,,,,,,,,,,,,,,,,,,,,
03-Apr-25,ELEMENTS BRAND MERCHANDISING,PSB25-26/INV-012,PSB25-26/INV-012,Being Sale of Goods - Accounted,24 Pr,,20334.00,22774.00 Dr,20334.00 Cr,,0.08 Dr,,,,2440.08 Cr,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,1 Pr,701.00/Pr,701.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,2 Pr,701.00/Pr,1402.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,1 Pr,701.00/Pr,701.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,701.00/Pr,701.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,4 Pr,863.00/Pr,3452.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,1 Pr,863.00/Pr,863.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,6 Pr,863.00/Pr,5178.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,3 Pr,917.00/Pr,2751.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,3 Pr,917.00/Pr,2751.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,2 Pr,917.00/Pr,1834.00,,,,,,,,,,,,,,,,,,,,,
03-Apr-25,ELEMENTS BRAND MERCHANDISING,PSB25-26/INV-013,PSB25-26/INV-013,Being Sale of Goods - Accounted,41 Pr,,54864.00,64740.00 Dr,54864.00 Cr,9875.52 Cr,0.48 Cr,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 C) - Black,,,,1 Pr,1296.00/Pr,1296.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 C) - Black,,,,1 Pr,1296.00/Pr,1296.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 C) - Black,,,,1 Pr,1296.00/Pr,1296.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,2 Pr,1296.00/Pr,2592.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,5 Pr,1296.00/Pr,6480.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,5 Pr,1296.00/Pr,6480.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,3 Pr,1296.00/Pr,3888.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,6 Pr,1296.00/Pr,7776.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,5 Pr,1296.00/Pr,6480.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,2 Pr,1440.00/Pr,2880.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,4 Pr,1440.00/Pr,5760.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,4 Pr,1440.00/Pr,5760.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,1 Pr,1440.00/Pr,1440.00,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,1 Pr,1440.00/Pr,1440.00,,,,,,,,,,,,,,,,,,,,,
03-Apr-25,"DAC'S INC .,",PSB25-26/INV-014,PSB25-26/INV-014,Being Sale of Goods - Accounted,2 Pr,,420.00,441.00 Dr,420.00 Cr,,,,,,,,,10.50 Cr,10.50 Cr,,,,,,,,,
,Sri Vani Navy Blue Crew Length Socks (P/3) - M,,,,2 Pr,210.00/Pr,420.00,,,,,,,,,,,,,,,,,,,,,
04-Apr-25,"DAC'S INC .,",PSB25-26/INV-015,PSB25-26/INV-015,Being Sale of Goods - Accounted,199 Pr,,256602.00,302790.00 Dr,256602.00 Cr,,0.36 Dr,,,,,23094.18 Cr,23094.18 Cr,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,6 Pr,1110.00/Pr,6660.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,6 Pr,1110.00/Pr,6660.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,6 Pr,1110.00/Pr,6660.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,12 Pr,1110.00/Pr,13320.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,24 Pr,1110.00/Pr,26640.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,24 Pr,1300.00/Pr,31200.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,24 Pr,1300.00/Pr,31200.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,2 Pr,1300.00/Pr,2600.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,18 Pr,1300.00/Pr,23400.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,17 Pr,1406.00/Pr,23902.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,18 Pr,1406.00/Pr,25308.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,12 Pr,1406.00/Pr,16872.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,12 Pr,1406.00/Pr,16872.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,12 Pr,1406.00/Pr,16872.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,6 Pr,1406.00/Pr,8436.00,,,,,,,,,,,,,,,,,,,,,
04-Apr-25,"DAC'S INC .,",PSB25-26/INV-016,PSB25-26/INV-016,Being Sale of Goods - Accounted,258 Pr,,293184.00,340082.00 Dr,293184.00 Cr,,0.08 Cr,5875.20 Cr,5875.20 Cr,,,17573.76 Cr,17573.76 Cr,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08C) - Black,,,,6 Pr,960.00/Pr,5760.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,12 Pr,960.00/Pr,11520.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,12 Pr,960.00/Pr,11520.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,24 Pr,960.00/Pr,23040.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,24 Pr,960.00/Pr,23040.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,24 Pr,960.00/Pr,23040.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,24 Pr,1200.00/Pr,28800.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,24 Pr,1200.00/Pr,28800.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,24 Pr,1200.00/Pr,28800.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,18 Pr,1296.00/Pr,23328.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,18 Pr,1296.00/Pr,23328.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,18 Pr,1296.00/Pr,23328.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,18 Pr,1296.00/Pr,23328.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,6 Pr,1296.00/Pr,7776.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 UK) - Black,,,,6 Pr,1296.00/Pr,7776.00,,,,,,,,,,,,,,,,,,,,,
04-Apr-25,ETERNAL TRADING CO,PSB25-26/INV-017,PSB25-26/INV-017,Being Sale of Goods - Accounted,1812 Pr,,2164038.00,2544738.00 Dr,2164038.00 Cr,363045.24 Cr,0.36 Cr,,,,17654.40 Cr,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,30 Pr,919.50/Pr,27585.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,30 Pr,919.50/Pr,27585.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,50 Pr,919.50/Pr,45975.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,50 Pr,919.50/Pr,45975.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,70 Pr,1149.50/Pr,80465.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,80 Pr,1149.50/Pr,91960.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,110 Pr,1149.50/Pr,126445.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,110 Pr,1149.50/Pr,126445.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,108 Pr,1241.50/Pr,134082.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,84 Pr,1241.50/Pr,104286.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,240 Pr,1241.50/Pr,297960.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,305 Pr,1241.50/Pr,378657.50,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,260 Pr,1241.50/Pr,322790.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,195 Pr,1241.50/Pr,242092.50,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,50 Pr,1241.50/Pr,62075.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 UK) - Black,,,,40 Pr,1241.50/Pr,49660.00,,,,,,,,,,,,,,,,,,,,,
04-Apr-25,NYAS SERVICES,PSB25-26/INV-018,PSB25-26/INV-018,Being Sale of Goods - Accounted,13 Pr,,16616.13,19607.00 Dr,16616.13 Cr,2990.90 Cr,0.03 Dr,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,2 Pr,1066.95/Pr,2133.90,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,2 Pr,1066.95/Pr,2133.90,,,,,,,,,,,,,,,,,,,,,
