Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output CGST @ 9%,Output SGST @ 9%,Round Off,Output CGST @ 6%,Output SGST @ 6%,Output IGST @ 18%,Shipping Local GST @ 12%,Output IGST @ 12%,TCS on Sales (0.1%),Shipping Interstate GST @ 12%,Output IGST @ 5%,Output CGST @ 2.5%,Output SGST @ 2.5%,Local GST Sales @ 5%,Local GST Sales @ 12%,Local GST Sales @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 18%
09-Jan-25,H AND M ENTERPRISES (DPS),PSB24-25/INV-803,PSB24-25/INV-803,Being Sale of Goods - Accounted,8 Pr,,9536.00,11264.00 Dr,9536.00 Cr,858.24 Cr,858.24 Cr,0.52 Cr,,,,,,11.00 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,4 Pr,1192.00/Pr,4768.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,4 Pr,1192.00/Pr,4768.00,,,,,,,,,,,,,,,,,,,,
13-Jan-25,ETERNAL TRADING CO,PSB24-25/INV-804,PSB24-25/INV-804,Being Sale of Goods - Accounted,60 Pr,,42150.00,47255.00 Dr,42150.00 Cr,,,,,,,,5058.00 Cr,47.00 Cr,,,,,,,,,
,Plaeto S’cool  Shoes (Size 12 C) - Black,,,,5 Pr,658.00/Pr,3290.00,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 13 C) - Black,,,,5 Pr,658.00/Pr,3290.00,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 01 UK) - Black,,,,5 Pr,658.00/Pr,3290.00,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 02 UK) - Black,,,,5 Pr,658.00/Pr,3290.00,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 03 UK) - Black,,,,5 Pr,658.00/Pr,3290.00,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 04 UK) - Black,,,,5 Pr,658.00/Pr,3290.00,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 05 UK) - Black,,,,5 Pr,747.00/Pr,3735.00,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 06 UK) - Black,,,,5 Pr,747.00/Pr,3735.00,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 07 UK) - Black,,,,5 Pr,747.00/Pr,3735.00,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 08 UK) - Black,,,,5 Pr,747.00/Pr,3735.00,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 09 UK) - Black,,,,5 Pr,747.00/Pr,3735.00,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 10 UK) - Black,,,,5 Pr,747.00/Pr,3735.00,,,,,,,,,,,,,,,,,,,,
13-Jan-25,R M SURESH & CO,PSB24-25/INV-805,PSB24-25/INV-805,Being Sale of Goods - Accounted,3 Pr,,3408.54,3965.00 Dr,3408.54 Cr,220.42 Cr,220.42 Cr,0.48 Cr,57.57 Cr,57.57 Cr,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,1 Pr,959.52/Pr,959.52,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,1 Pr,1224.51/Pr,1224.51,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,1 Pr,1224.51/Pr,1224.51,,,,,,,,,,,,,,,,,,,,
15-Jan-25,(cancelled ),PSB24-25/INV-806,PSB24-25/INV-806,Being Sale of Goods - Accounted,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-25,SAI ANUGRAHA TRADERS,PSB24-25/INV-807,PSB24-25/INV-807,Being Sale of Goods - Accounted,1 Pr,,701.00,901.00 Dr,701.00 Cr,,,0.12 Dr,,,,,96.44 Cr,1.00 Cr,102.68 Cr,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,1 Pr,701.00/Pr,701.00,,,,,,,,,,,,,,,,,,,,
20-Jan-25,R M SURESH & CO,PSB24-25/INV-808,PSB24-25/INV-808,Being Sale of Goods - Accounted,6 Pr,,6287.10,7189.00 Dr,6287.10 Cr,220.42 Cr,220.42 Cr,0.50 Cr,230.28 Cr,230.28 Cr,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,1 Pr,959.52/Pr,959.52,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,2 Pr,959.52/Pr,1919.04,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,1 Pr,959.52/Pr,959.52,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,1 Pr,1224.51/Pr,1224.51,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,1 Pr,1224.51/Pr,1224.51,,,,,,,,,,,,,,,,,,,,
20-Jan-25,"DAC'S INC .,",PSB24-25/INV-809,PSB24-25/INV-809,Being Sale of Goods - Accounted,8 Pr,,8640.00,9965.00 Dr,8640.00 Cr,432.00 Cr,432.00 Cr,0.20 Cr,230.40 Cr,230.40 Cr,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,4 Pr,960.00/Pr,3840.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,4 Pr,1200.00/Pr,4800.00,,,,,,,,,,,,,,,,,,,,
24-Jan-25,ETERNAL TRADING CO,PSB24-25/INV-810,PSB24-25/INV-810,Being Sale of Goods - Accounted,420 Pr,,518670.00,612643.00 Dr,518670.00 Cr,,,0.40 Cr,,,93360.60 Cr,,,612.00 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,30 Pr,1149.50/Pr,34485.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,30 Pr,1241.50/Pr,37245.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,60 Pr,1241.50/Pr,74490.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,80 Pr,1241.50/Pr,99320.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,50 Pr,1241.50/Pr,62075.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,80 Pr,1241.50/Pr,99320.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,40 Pr,1241.50/Pr,49660.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,30 Pr,1241.50/Pr,37245.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 UK) - Black,,,,20 Pr,1241.50/Pr,24830.00,,,,,,,,,,,,,,,,,,,,
24-Jan-25,Sharanya Narayani International School,PSB24-25/INV-811,PSB24-25/INV-811,Being Sale of Goods - Accounted,16 Pr,,25918.68,30584.00 Dr,25918.68 Cr,2332.68 Cr,2332.68 Cr,0.04 Dr,,,,,,,,,,,,,,,
,Puma School Shoes (Size 04 UK) - Black,,,,3 Pr,1524.58/Pr,4573.74,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 07 UK) - Black,,,,1 Pr,1677.12/Pr,1677.12,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 08 UK) - Black,,,,2 Pr,1677.12/Pr,3354.24,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 09 UK) - Black,,,,2 Pr,1677.12/Pr,3354.24,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 04 UK) - White,,,,3 Pr,1524.58/Pr,4573.74,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 07 UK) - White,,,,1 Pr,1677.12/Pr,1677.12,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 08 UK) - White,,,,2 Pr,1677.12/Pr,3354.24,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 09 UK) - White,,,,2 Pr,1677.12/Pr,3354.24,,,,,,,,,,,,,,,,,,,,
25-Jan-25,SREENIDHI INTERNATIONAL SCHOOL ***,PSB24-25/INV-812,PSB24-25/INV-812,Being Sale of Goods - Accounted,735 Pr,,66502.80,69828.00 Dr,66502.80 Cr,,,0.06 Cr,,,,,,,,3325.14 Cr,,,,,,,
,Sreenidhi Plain White Ankle Length Socks (P/1) - S,,,,45 Pr,90.48/Pr,4071.60,,,,,,,,,,,,,,,,,,,,
,Sreenidhi Plain White Ankle Length Socks (P/1) - M,,,,345 Pr,90.48/Pr,31215.60,,,,,,,,,,,,,,,,,,,,
,Sreenidhi Plain White Ankle Length Socks (P/1) - L,,,,345 Pr,90.48/Pr,31215.60,,,,,,,,,,,,,,,,,,,,
27-Jan-25,INSPIRE ENTERPRISES,PSB24-25/INV-813,PSB24-25/INV-813,Being Sale of Goods - Accounted,4 Pr,,8166.12,9636.00 Dr,8166.12 Cr,,,0.02 Dr,,,1469.90 Cr,,,,,,,,,,,,
,Skechers GORUN-400-Intrepid Shoe (Size 08 US) - Black,,,,2 Pr,2041.53/Pr,4083.06,,,,,,,,,,,,,,,,,,,,
,Skechers GORUN-400-Intrepid Shoe (Size 09 US) - Black,,,,2 Pr,2041.53/Pr,4083.06,,,,,,,,,,,,,,,,,,,,
28-Jan-25,Sunshine Enterprises,PSB24-25/INV-814,PSB24-25/INV-814,Being Sale of Goods - Accounted,3 Pr,,2481.00,2779.00 Dr,2481.00 Cr,,,0.28 Cr,148.86 Cr,148.86 Cr,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,1 Pr,701.00/Pr,701.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,1 Pr,863.00/Pr,863.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,1 Pr,917.00/Pr,917.00,,,,,,,,,,,,,,,,,,,,
31-Jan-25,MD. A & A ENTERPRISES,PSB24-25/INV-815,PSB24-25/INV-815,Being Sale of Goods - Accounted,2 Pr,,1996.00,2236.00 Dr,1996.00 Cr,,,0.48 Cr,119.76 Cr,119.76 Cr,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - White,,,,1 Pr,998.00/Pr,998.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,1 Pr,998.00/Pr,998.00,,,,,,,,,,,,,,,,,,,,
31-Jan-25,Walk in Customers - Office Store,PSB24-25/INV-816,PSB24-25/INV-816,Being Sale of Goods - Accounted,11 Pr,,17633.04,20807.00 Dr,17633.04 Cr,1586.97 Cr,1586.97 Cr,0.02 Cr,,,,,,,,,,,,,,,
,Adidas Elements School Shoes (Size 10 UK) - Black,,,,1 Pr,2042.37/Pr,2042.37,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 04 UK) - Black,,,,1 Pr,1779.66/Pr,1779.66,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,1 Pr,1185.59/Pr,1185.59,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,1 Pr,1525.42/Pr,1525.42,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,1 Pr,1584.75/Pr,1584.75,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,1 Pr,1779.66/Pr,1779.66,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,1 Pr,1439.83/Pr,1439.83,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,2 Pr,1483.05/Pr,2966.10,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,1 Pr,1635.59/Pr,1635.59,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,1 Pr,1694.07/Pr,1694.07,,,,,,,,,,,,,,,,,,,,
31-Jan-25,Walk in Customers - Sahakar Nagar,PSB24-25/INV-817,PSB24-25/INV-817,Being Sale of Goods - Accounted,2 Pr,,2788.13,3290.00 Dr,2788.13 Cr,250.93 Cr,250.93 Cr,0.01 Cr,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,1 Pr,1262.71/Pr,1262.71,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,1 Pr,1525.42/Pr,1525.42,,,,,,,,,,,,,,,,,,,,
31-Jan-25,Walk in Customers - Shree Shyam,PSB24-25/INV-818,PSB24-25/INV-818,Being Sale of Goods - Accounted,14 Pr,,16736.65,19649.00 Dr,16736.65 Cr,1436.88 Cr,1436.88 Cr,0.01 Cr,,,,,,,,,19.29 Cr,19.29 Cr,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,1 Pr,1185.59/Pr,1185.59,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,1 Pr,1270.34/Pr,1270.34,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,1 Pr,1270.34/Pr,1270.34,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,2 Pr,1482.20/Pr,2964.40,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,1 Pr,1482.20/Pr,1482.20,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,1 Pr,1482.20/Pr,1482.20,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,1 Pr,1482.20/Pr,1482.20,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,1 Pr,1609.32/Pr,1609.32,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,1 Pr,1609.32/Pr,1609.32,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,1 Pr,1609.32/Pr,1609.32,,,,,,,,,,,,,,,,,,,,
,Sri Vani Navy Blue Crew Length Socks (P/3) - M,,,,2 Pr,257.14/Pr,514.28,,,,,,,,,,,,,,,,,,,,
,Sri Vani Navy Blue Crew Length Socks (P/3) - XL,,,,1 Pr,257.14/Pr,257.14,,,,,,,,,,,,,,,,,,,,
31-Jan-25,Online Debtors - Sports365 Local,PSB24-25/INV-819,PSB24-25/INV-819,Being Booked Local B2C Sales for the month of Jan'25,,,,175904.00 Dr,,4266.54 Cr,4266.54 Cr,0.04 Cr,37.14 Cr,37.14 Cr,,,,,,,2839.80 Cr,2839.80 Cr,113592.00 Cr,619.00 Cr,47406.00 Cr,,
31-Jan-25,Online Debtors - Sports365,PSB24-25/INV-820,PSB24-25/INV-820,Being Booked Interstate Online B2C Sales for the month of Jan'25.,,,,29646.00 Dr,,,,,,,2576.70 Cr,,,,,607.30 Cr,,,,,,12147.00 Cr,14315.00 Cr
,Grand Total,,,,1368 Pr,,816525.68,1156097.00 Dr,816525.68 Cr,15953.82 Cr,15953.82 Cr,2.50 Cr,1220.61 Cr,1220.61 Cr,98755.06 Cr,66.96 Cr,7861.64 Cr,704.00 Cr,102.68 Cr,3932.44 Cr,2859.09 Cr,2859.09 Cr,113592.00 Cr,619.00 Cr,47406.00 Cr,12147.00 Cr,14315.00 Cr
