Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 12%,Output IGST @ 18%,Round Off,Output IGST @ 5%,Output CGST @ 2.5%,Output SGST @ 2.5%,TCS on Sales (0.1%),Output CGST @ 6%,Output SGST @ 6%,Output CGST @ 9%,Output SGST @ 9%,Input CGST @ 2.5%,Input SGST @ 2.5%,Input CGST @ 6%,Input SGST @ 6%,Input CGST @ 9%,Input SGST @ 9%,Local GST Sales @ 5%,Local GST Sales @ 18%,Interstate GST Sales @ 5%
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,1 Pr,714.50/Pr,714.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,1 Pr,879.50/Pr,879.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,1 Pr,879.50/Pr,879.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,1 Pr,879.50/Pr,879.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,1 Pr,934.50/Pr,934.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,1 Pr,934.50/Pr,934.50,,,,,,,,,,,,,,,,,,,,,,
13-Feb-25,LYALLPUR UNIFORMS PRIVATE LIMITED,PSB24-25/INV-826,PSB24-25/INV-826,Being Sale of Goods - Accounted,988 Pr,,1481712.00,1748420.00 Dr,1481712.00 Cr,,266708.16 Cr,0.16 Dr,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 09 C) - Black,,,,25 Pr,1344.00/Pr,33600.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 10 C) - Black,,,,35 Pr,1344.00/Pr,47040.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 11 C) - Black,,,,25 Pr,1344.00/Pr,33600.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 12 C) - Black,,,,30 Pr,1344.00/Pr,40320.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 13 C) - Black,,,,50 Pr,1344.00/Pr,67200.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 01 UK) - Black,,,,22 Pr,1440.00/Pr,31680.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 02 UK) - Black,,,,25 Pr,1440.00/Pr,36000.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 03 UK) - Black,,,,2 Pr,1440.00/Pr,2880.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 04 UK) - Black,,,,67 Pr,1440.00/Pr,96480.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 05 UK) - Black,,,,40 Pr,1584.00/Pr,63360.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 06 UK) - Black,,,,68 Pr,1584.00/Pr,107712.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 07 UK) - Black,,,,71 Pr,1584.00/Pr,112464.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 08 UK) - Black,,,,65 Pr,1584.00/Pr,102960.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 09 UK) - Black,,,,75 Pr,1584.00/Pr,118800.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 10 UK) - Black,,,,46 Pr,1584.00/Pr,72864.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 11 UK) - Black,,,,25 Pr,1584.00/Pr,39600.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 12 UK) - Black,,,,17 Pr,1584.00/Pr,26928.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 10 C) - White,,,,31 Pr,1344.00/Pr,41664.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 11 C) - White,,,,18 Pr,1344.00/Pr,24192.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 12 C) - White,,,,8 Pr,1344.00/Pr,10752.00,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 13 C) - White,,,,32 Pr,1344.00/Pr,43008.00,,,,,,,,,,,,,,,,,,,,,,
