Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output CGST @ 6%,Output SGST @ 6%,Round Off,Output IGST @ 12%,Output IGST @ 18%,Output CGST @ 9%,Output SGST @ 9%,Output IGST @ 5%,Shipping Interstate GST @ 18%,Shipping Local GST @ 18%,Output CGST @ 2.5%,Output SGST @ 2.5%,Input CGST @ 2.5%,Input SGST @ 2.5%,Local GST Sales @ 5%,Local GST Sales @ 12%,Local GST Sales @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,4 Pr,1609.32/Pr,6437.28,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,1 Pr,1609.32/Pr,1609.32,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,3 Pr,1609.32/Pr,4827.96,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,1 Pr,1609.32/Pr,1609.32,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,6 Pr,1694.07/Pr,10164.42,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,2 Pr,1694.07/Pr,3388.14,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,2 Pr,1694.07/Pr,3388.14,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,2 Pr,1694.07/Pr,3388.14,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,1 Pr,1694.07/Pr,1694.07,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,2 Pr,1694.07/Pr,3388.14,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,1 Pr,1694.07/Pr,1694.07,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - White,,,,1 Pr,1270.34/Pr,1270.34,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - White,,,,2 Pr,1270.34/Pr,2540.68,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - White,,,,3 Pr,1609.32/Pr,4827.96,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - White,,,,2 Pr,1609.32/Pr,3218.64,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - White,,,,4 Pr,1609.32/Pr,6437.28,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - White,,,,1 Pr,1609.32/Pr,1609.32,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - White,,,,5 Pr,1694.07/Pr,8470.35,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - White,,,,2 Pr,1694.07/Pr,3388.14,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - White,,,,8 Pr,1694.07/Pr,13552.56,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - White,,,,1 Pr,1694.07/Pr,1694.07,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - White,,,,2 Pr,1694.07/Pr,3388.14,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - White,,,,1 Pr,1694.07/Pr,1694.07,,,,,,,,,,,,,,,,,,,,,,
,NPS White Crew Socks with 2 Brown Rings (P/3) - S,,,,9 Pr,284.76/Pr,2562.84,,,,,,,,,,,,,,,,,,,,,,
,NPS White Crew Socks with 2 Brown Rings (P/3) - M,,,,11 Pr,284.76/Pr,3132.36,,,,,,,,,,,,,,,,,,,,,,
,NPS White Crew Socks with 2 Brown Rings (P/3) - L,,,,20 Pr,284.76/Pr,5695.20,,,,,,,,,,,,,,,,,,,,,,
,NPS White Crew Socks with 2 Brown Rings (P/3) - XL,,,,10 Pr,284.76/Pr,2847.60,,,,,,,,,,,,,,,,,,,,,,
,NPS White Crew Socks with 2 Brown Rings (P/3) - XXL,,,,8 Pr,284.76/Pr,2278.08,,,,,,,,,,,,,,,,,,,,,,
31-Jul-25,R.V. INTERNATIONAL SCHOOL,PSB25-26/INV-883,PSB25-26/INV-883,Being Sale of Goods - Accounted,16 Pr,,17592.64,20284.00 Dr,17592.64 Cr,475.28 Cr,475.28 Cr,,,,870.40 Cr,870.40 Cr,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,1 Pr,990.18/Pr,990.18,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,990.18/Pr,990.18,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,6 Pr,990.18/Pr,5941.08,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,1 Pr,1151.69/Pr,1151.69,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,1 Pr,1151.69/Pr,1151.69,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,3 Pr,1227.97/Pr,3683.91,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,2 Pr,1227.97/Pr,2455.94,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 UK) - Black,,,,1 Pr,1227.97/Pr,1227.97,,,,,,,,,,,,,,,,,,,,,,
31-Jul-25,St. John's High School,PSB25-26/INV-884,PSB25-26/INV-884,Being Sale of Goods - Accounted,9 Pr,,10494.90,12384.00 Dr,10494.90 Cr,,,,,,944.55 Cr,944.55 Cr,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,2 Pr,1166.10/Pr,2332.20,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,1 Pr,1166.10/Pr,1166.10,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,1 Pr,1166.10/Pr,1166.10,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - White,,,,1 Pr,1166.10/Pr,1166.10,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - White,,,,1 Pr,1166.10/Pr,1166.10,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - White,,,,2 Pr,1166.10/Pr,2332.20,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,1 Pr,1166.10/Pr,1166.10,,,,,,,,,,,,,,,,,,,,,,
31-Jul-25,St. John's High School,PSB25-26/INV-885,PSB25-26/INV-885,Being Sale of Goods - Accounted,188 Pr,,238037.04,280884.00 Dr,238037.04 Cr,,,0.28 Cr,,,21423.34 Cr,21423.34 Cr,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,1 Pr,1000.00/Pr,1000.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,2 Pr,1000.00/Pr,2000.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,2 Pr,1219.49/Pr,2438.98,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,6 Pr,1219.49/Pr,7316.94,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,6 Pr,1233.00/Pr,7398.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,9 Pr,1219.49/Pr,10975.41,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,22 Pr,1295.76/Pr,28506.72,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,14 Pr,1295.76/Pr,18140.64,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,15 Pr,1295.76/Pr,19436.40,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,10 Pr,1295.76/Pr,12957.60,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,6 Pr,1295.76/Pr,7774.56,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,6 Pr,1295.76/Pr,7774.56,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,3 Pr,1295.76/Pr,3887.28,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 UK) - Black,,,,2 Pr,1295.76/Pr,2591.52,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - White,,,,4 Pr,1000.00/Pr,4000.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - White,,,,2 Pr,1219.49/Pr,2438.98,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - White,,,,6 Pr,1219.49/Pr,7316.94,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - White,,,,9 Pr,1219.49/Pr,10975.41,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - White,,,,5 Pr,1219.49/Pr,6097.45,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - White,,,,18 Pr,1295.76/Pr,23323.68,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - White,,,,12 Pr,1295.76/Pr,15549.12,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - White,,,,11 Pr,1295.76/Pr,14253.36,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - White,,,,8 Pr,1295.76/Pr,10366.08,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - White,,,,3 Pr,1246.87/Pr,3740.61,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - White,,,,2 Pr,1295.76/Pr,2591.52,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - White,,,,3 Pr,1295.76/Pr,3887.28,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 UK) - White,,,,1 Pr,1298.00/Pr,1298.00,,,,,,,,,,,,,,,,,,,,,,
31-Jul-25,Valistus International School,PSB25-26/INV-886,PSB25-26/INV-886,Being Sale of Goods - Accounted,65 Pr,,105478.93,124465.00 Dr,105478.93 Cr,,,0.13 Dr,,,9493.10 Cr,9493.10 Cr,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 C) - Black,,,,1 Pr,1600.85/Pr,1600.85,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 C) - Black,,,,3 Pr,1600.85/Pr,4802.55,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 C) - Black,,,,5 Pr,1600.85/Pr,8004.25,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,7 Pr,1600.85/Pr,11205.95,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,6 Pr,1600.85/Pr,9605.10,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,13 Pr,1600.85/Pr,20811.05,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,5 Pr,1600.85/Pr,8004.25,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,6 Pr,1600.85/Pr,9605.10,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,3 Pr,1600.85/Pr,4802.55,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,8 Pr,1600.85/Pr,12806.80,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,1 Pr,1778.81/Pr,1778.81,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,6 Pr,1778.81/Pr,10672.86,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,1 Pr,1778.81/Pr,1778.81,,,,,,,,,,,,,,,,,,,,,,
31-Jul-25,Walk in Customers - Rakhra,PSB25-26/INV-887,PSB25-26/INV-887,Being Sale of Goods - Accounted,5 Pr,,9957.65,11750.00 Dr,9957.65 Cr,,,0.05 Dr,,,896.20 Cr,896.20 Cr,,,,,,,,,,,,,
,Puma School Shoes (Size 05 UK) - White,,,,1 Pr,1991.53/Pr,1991.53,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 06 UK) - White,,,,1 Pr,1991.53/Pr,1991.53,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 07 UK) - White,,,,2 Pr,1991.53/Pr,3983.06,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 09 UK) - White,,,,1 Pr,1991.53/Pr,1991.53,,,,,,,,,,,,,,,,,,,,,,
31-Jul-25,Walk in Customers - Kammanahalli,PSB25-26/INV-888,PSB25-26/INV-888,Being Sale of Goods - Accounted,5 Pr,,7330.50,8650.00 Dr,7330.50 Cr,,,,,,659.75 Cr,659.75 Cr,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,1 Pr,1440.68/Pr,1440.68,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,1 Pr,1228.81/Pr,1228.81,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,1 Pr,1525.42/Pr,1525.42,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,1 Pr,1525.42/Pr,1525.42,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,1 Pr,1610.17/Pr,1610.17,,,,,,,,,,,,,,,,,,,,,,
31-Jul-25,Walk in Customers - Plaeto,PSB25-26/INV-889,PSB25-26/INV-889,Being Sale of Goods - Accounted,11 Pr,,14455.92,17058.00 Dr,14455.92 Cr,,,,,,1301.04 Cr,1301.04 Cr,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08C) - Black,,,,1 Pr,1186.44/Pr,1186.44,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,1 Pr,1186.44/Pr,1186.44,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,2 Pr,1186.44/Pr,2372.88,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,1 Pr,1525.42/Pr,1525.42,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - White,,,,1 Pr,1186.44/Pr,1186.44,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - White,,,,2 Pr,1440.68/Pr,2881.36,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - White,,,,1 Pr,1525.42/Pr,1525.42,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,1 Pr,1295.76/Pr,1295.76,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - White,,,,1 Pr,1295.76/Pr,1295.76,,,,,,,,,,,,,,,,,,,,,,
31-Jul-25,Walk in Customers - Office Store,PSB25-26/INV-890,PSB25-26/INV-890,Being Sale of Goods - Accounted,,,202215.61,235565.00 Dr,202215.61 Cr,375.27 Cr,375.27 Cr,0.15 Cr,,,15785.07 Cr,15785.07 Cr,,,,514.28 Cr,514.28 Cr,,,,,,,,
,Clogs (Size 07 C),,,,1 Pr,223.21/Pr,223.21,,,,,,,,,,,,,,,,,,,,,,
,Adidas Elements School Shoes (Size 13 K) - Black,,,,1 Pr,1872.88/Pr,1872.88,,,,,,,,,,,,,,,,,,,,,,
,Adidas Elements School Shoes (Size 5 UK) - Black,,,,1 Pr,2042.37/Pr,2042.37,,,,,,,,,,,,,,,,,,,,,,
,Adidas Elements School Shoes (Size 6 UK) - Black,,,,1 Pr,2042.37/Pr,2042.37,,,,,,,,,,,,,,,,,,,,,,
,Adidas Elements School Shoes (Size 8 UK) - Black,,,,1 Pr,2042.37/Pr,2042.37,,,,,,,,,,,,,,,,,,,,,,
,NIKE Supergame School Shoe (Size - 12C) Blk / White,,,,1 Pr,267.86/Pr,267.86,,,,,,,,,,,,,,,,,,,,,,
,NIKE Supergame School Shoe (Size - 13C) Blk/White,,,,1 Pr,266.96/Pr,266.96,,,,,,,,,,,,,,,,,,,,,,
,Nike Rev. 4 Shoes - Black / White,,,,9 Pr,218.75/Pr,1968.75,,,,,,,,,,,,,,,,,,,,,,
,Champ's Value Pack,,,,1 Nos,194.92/Nos,194.92,,,,,,,,,,,,,,,,,,,,,,
,Legacy Navy Blue Ankle Socks (P/3) - XS,,,,15 Pr,380.95/Pr,5714.25,,,,,,,,,,,,,,,,,,,,,,
,Legacy Navy Blue Ankle Socks (P/3) - S,,,,21 Pr,380.95/Pr,7999.95,,,,,,,,,,,,,,,,,,,,,,
,Legacy Navy Blue Ankle Socks (P/3) - M,,,,6 Pr,380.95/Pr,2285.70,,,,,,,,,,,,,,,,,,,,,,
,Legacy Navy Blue Ankle Socks (P/3) - L,,,,9 Pr,380.95/Pr,3428.55,,,,,,,,,,,,,,,,,,,,,,
,Legacy Navy Blue Ankle Socks (P/3) - XL,,,,3 Pr,380.95/Pr,1142.85,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 C) - Black,,,,1 Pr,1715.25/Pr,1715.25,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,4 Pr,1598.73/Pr,6394.92,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,5 Pr,1663.56/Pr,8317.80,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,2 Pr,1715.25/Pr,3430.50,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,1 Pr,1600.85/Pr,1600.85,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,1 Pr,1829.66/Pr,1829.66,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,2 Pr,1778.81/Pr,3557.62,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,4 Pr,1855.08/Pr,7420.32,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,3 Pr,1905.92/Pr,5717.76,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,1 Pr,1778.81/Pr,1778.81,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,3 Pr,1587.00/Pr,4761.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 US) - Black,,,,1 Pr,2033.05/Pr,2033.05,,,,,,,,,,,,,,,,,,,,,,
,Skipping Rope,,,,2 Nos,326.79/Nos,653.58,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,2 Pr,946.43/Pr,1892.86,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,1 Pr,1076.27/Pr,1076.27,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - White,,,,1 Pr,981.25/Pr,981.25,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - White,,,,1 Pr,1592.37/Pr,1592.37,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - White,,,,1 Pr,1592.37/Pr,1592.37,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - White,,,,1 Pr,1694.07/Pr,1694.07,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - White,,,,1 Pr,1694.07/Pr,1694.07,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08C) - Black,,,,1 Pr,1525.42/Pr,1525.42,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,3 Pr,1525.42/Pr,4576.26,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,2 Pr,1525.42/Pr,3050.84,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,7 Pr,1404.15/Pr,9829.05,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,4 Pr,1355.51/Pr,5422.04,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,5 Pr,1457.46/Pr,7287.30,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,9 Pr,1779.66/Pr,16016.94,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,6 Pr,1748.31/Pr,10489.86,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,4 Pr,1779.66/Pr,7118.64,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,4 Pr,1779.66/Pr,7118.64,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,2 Pr,1779.66/Pr,3559.32,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,4 Pr,1821.61/Pr,7286.44,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,4 Pr,1800.42/Pr,7201.68,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,7 Pr,1900.59/Pr,13304.13,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,4 Pr,1800.42/Pr,7201.68,,,,,,,,,,,,,,,,,,,,,,
31-Jul-25,Walk in Customers - Shree Shyam,PSB25-26/INV-891,PSB25-26/INV-891,Being Sale of Goods - Accounted,32 Pr,,34628.97,40528.00 Dr,34628.97 Cr,,,0.05 Cr,,,2885.19 Cr,2885.19 Cr,,,,64.30 Cr,64.30 Cr,,,,,,,,
,Sri Vani Navy Blue Crew Length Socks (P/3) - XS,,,,1 Pr,257.14/Pr,257.14,,,,,,,,,,,,,,,,,,,,,,
,Sri Vani Navy Blue Crew Length Socks (P/3) - S,,,,2 Pr,257.14/Pr,514.28,,,,,,,,,,,,,,,,,,,,,,
,Sri Vani Navy Blue Crew Length Socks (P/3) - M,,,,2 Pr,257.14/Pr,514.28,,,,,,,,,,,,,,,,,,,,,,
,Sri Vani Navy Blue Crew Length Socks (P/3) - L,,,,3 Pr,257.14/Pr,771.42,,,,,,,,,,,,,,,,,,,,,,
,Sri Vani Navy Blue Crew Length Socks (P/3) - XL,,,,2 Pr,257.14/Pr,514.28,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,1 Pr,1270.34/Pr,1270.34,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,3 Pr,1185.59/Pr,3556.77,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,1 Pr,1270.34/Pr,1270.34,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,1 Pr,1185.59/Pr,1185.59,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,4 Pr,1482.20/Pr,5928.80,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,2 Pr,1482.20/Pr,2964.40,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,1 Pr,1482.20/Pr,1482.20,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,2 Pr,1609.32/Pr,3218.64,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,1 Pr,1651.69/Pr,1651.69,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,1 Pr,1609.32/Pr,1609.32,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,1 Pr,1651.69/Pr,1651.69,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,1 Pr,1694.07/Pr,1694.07,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - White,,,,1 Pr,1482.20/Pr,1482.20,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - White,,,,1 Pr,1482.20/Pr,1482.20,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - White,,,,1 Pr,1609.32/Pr,1609.32,,,,,,,,,,,,,,,,,,,,,,
31-Jul-25,Walk in Customers - Sahakar Nagar,PSB25-26/INV-892,PSB25-26/INV-892,Being Sale of Goods - Accounted,20 Pr,,32703.39,38590.00 Dr,32703.39 Cr,,,0.03 Cr,,,2943.29 Cr,2943.29 Cr,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,1 Pr,1313.56/Pr,1313.56,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,1 Pr,1305.08/Pr,1305.08,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,1 Pr,1313.56/Pr,1313.56,,,,,,,,,,,,,,,,,,,,,,
