Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 5%,Round Off,Output CGST @ 9%,Output SGST @ 9%,Output IGST @ 12%,Output CGST @ 6%,Output SGST @ 6%,Output IGST @ 18%,Shipping Local GST @ 12%,Output CGST @ 2.5%,Output SGST @ 2.5%,Shipping Interstate GST @ 12%,Shipping Interstate GST @ 12,Local GST Sales @ 18%,Interstate GST Sales @ 18%,Local GST Sales @ 5%,Interstate GST Sales @ 5%,Shipping Local GST @ 18%,Shipping Interstate GST @ 18%,Shipping Interstate GST @ 18%
,Reebok Prodigy Shoe (Size 12 C) - Black,,,,6 Pr,1107.00/Pr,6642.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,6 Pr,1107.00/Pr,6642.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,4 Pr,1107.00/Pr,4428.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,3 Pr,1230.00/Pr,3690.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 US) - Black,,,,2 Pr,1230.00/Pr,2460.00,,,,,,,,,,,,,,,,,,,,,,
03-Sep-25,Walk-King Shoe Company,PSB2526/INV-1045,PSB2526/INV-1045,Being Sale of Goods - Accounted,3 Pr,,3444.00,4064.00 Dr,3444.00 Cr,,0.08 Cr,,,,,,619.92 Cr,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,2 Pr,1107.00/Pr,2214.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,1 Pr,1230.00/Pr,1230.00,,,,,,,,,,,,,,,,,,,,,,
04-Sep-25,Sunshine Enterprises,PSB2526/INV-1046,PSB2526/INV-1046,Being Sale of Goods - Accounted,16 Pr,,21900.00,25842.00 Dr,21900.00 Cr,,,1971.00 Cr,1971.00 Cr,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,3 Pr,1350.00/Pr,4050.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,3 Pr,1350.00/Pr,4050.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,1 Pr,1350.00/Pr,1350.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,3 Pr,1350.00/Pr,4050.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,1 Pr,1500.00/Pr,1500.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,1 Pr,1500.00/Pr,1500.00,,,,,,,,,,,,,,,,,,,,,,
04-Sep-25,Sunshine Enterprises,PSB2526/INV-1047,PSB2526/INV-1047,Being Sale of Goods - Accounted,1 Pr,,917.00,1027.00 Dr,917.00 Cr,,0.04 Dr,,,,55.02 Cr,55.02 Cr,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,1 Pr,917.00/Pr,917.00,,,,,,,,,,,,,,,,,,,,,,
04-Sep-25,S-Mart Departmental Store,PSB2526/INV-1048,PSB2526/INV-1048,Being Sale of Goods - Accounted,25 Pr,,28715.00,33619.00 Dr,28715.00 Cr,,0.20 Cr,,,529.80 Cr,,,4374.00 Cr,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,5 Pr,883.00/Pr,4415.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,10 Pr,1215.00/Pr,12150.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,10 Pr,1215.00/Pr,12150.00,,,,,,,,,,,,,,,,,,,,,,
04-Sep-25,S-Mart Departmental Store,PSB2526/INV-1049,PSB2526/INV-1049,Being Sale of Goods - Accounted,80 Pr,,65960.00,73875.00 Dr,65960.00 Cr,,0.20 Dr,,,7915.20 Cr,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,10 Pr,701.00/Pr,7010.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,10 Pr,701.00/Pr,7010.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,10 Pr,831.00/Pr,8310.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,10 Pr,831.00/Pr,8310.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,20 Pr,883.00/Pr,17660.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,20 Pr,883.00/Pr,17660.00,,,,,,,,,,,,,,,,,,,,,,
04-Sep-25,D S APPARELS,PSB2526/INV-1050,PSB2526/INV-1050,Being Sale of Goods - Accounted,3 Pr,,2729.46,3057.00 Dr,2729.46 Cr,,,,,,163.77 Cr,163.77 Cr,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,2 Pr,909.82/Pr,1819.64,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - White,,,,1 Pr,909.82/Pr,909.82,,,,,,,,,,,,,,,,,,,,,,
04-Sep-25,HITESH CREATIONS (J P NAGAR),PSB2526/INV-1051,PSB2526/INV-1051,Being Sale of Goods - Accounted,1 Pr,,911.00,1140.00 Dr,911.00 Cr,,0.32 Dr,,,,61.09 Cr,61.09 Cr,,107.14 Cr,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - White,,,,1 Pr,911.00/Pr,911.00,,,,,,,,,,,,,,,,,,,,,,
06-Sep-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1052,PSB2526/INV-1052,Being Sale of Goods - Accounted,2 Pr,,1677.68,1879.00 Dr,1677.68 Cr,,,,,201.32 Cr,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,,
06-Sep-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1053,PSB2526/INV-1053,Being Sale of Goods - Accounted,1 Pr,,813.39,911.00 Dr,813.39 Cr,,,,,97.61 Cr,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,,
06-Sep-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1054,PSB2526/INV-1054,Being Sale of Goods - Accounted,2 Pr,,1474.10,1651.00 Dr,1474.10 Cr,,,,,176.90 Cr,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,,
06-Sep-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1055,PSB2526/INV-1055,Being Sale of Goods - Accounted,3 Pr,,2592.87,2904.00 Dr,2592.87 Cr,,0.01 Dr,,,311.14 Cr,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,2 Pr,864.29/Pr,1728.58,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,,
06-Sep-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1056,PSB2526/INV-1056,Being Sale of Goods - Accounted,2 Pr,,1525.00,1708.00 Dr,1525.00 Cr,,,,,183.00 Cr,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,,
06-Sep-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1057,PSB2526/INV-1057,Being Sale of Goods - Accounted,2 Pr,,1474.10,1651.00 Dr,1474.10 Cr,,,,,176.90 Cr,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,,
06-Sep-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1058,PSB2526/INV-1058,Being Sale of Goods - Accounted,5 Pr,,3965.17,4441.00 Dr,3965.17 Cr,,,,,475.83 Cr,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,660.71/Pr,660.71,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,1 Pr,813.39/Pr,813.39,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,,
09-Sep-25,SAI ANUGRAHA TRADERS,PSB2526/INV-1059,PSB2526/INV-1059,Being Sale of Goods - Accounted,1 Pr,,900.00,1008.00 Dr,900.00 Cr,,,,,108.00 Cr,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,1 Pr,900.00/Pr,900.00,,,,,,,,,,,,,,,,,,,,,,
09-Sep-25,Walk-King Shoe Company,PSB2526/INV-1060,PSB2526/INV-1060,Being Sale of Goods - Accounted,41 Pr,,57564.00,67926.00 Dr,57564.00 Cr,,0.48 Cr,,,,,,10361.52 Cr,,,,,,,,,,,,
,Reebok Champion Shoe (Size 12 C) - Black,,,,2 Pr,1353.00/Pr,2706.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 13 C) - Black,,,,3 Pr,1353.00/Pr,4059.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 01 Y) - Black,,,,7 Pr,1353.00/Pr,9471.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 02 Y) - Black,,,,2 Pr,1353.00/Pr,2706.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 03 Y) - Black,,,,3 Pr,1353.00/Pr,4059.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 04 Y) - Black,,,,5 Pr,1353.00/Pr,6765.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 05 Y) - Black,,,,2 Pr,1353.00/Pr,2706.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 07 US) - Black,,,,8 Pr,1476.00/Pr,11808.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 08 US) - Black,,,,4 Pr,1476.00/Pr,5904.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 09 US) - Black,,,,4 Pr,1476.00/Pr,5904.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 13 US) - Black,,,,1 Pr,1476.00/Pr,1476.00,,,,,,,,,,,,,,,,,,,,,,
10-Sep-25,RAKHRA THE SPORTS HOUSE,PSB2526/INV-1061,PSB2526/INV-1061,Being Sale of Goods - Accounted,1 Pr,,999.00,1119.00 Dr,999.00 Cr,,0.12 Cr,,,,59.94 Cr,59.94 Cr,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,1 Pr,999.00/Pr,999.00,,,,,,,,,,,,,,,,,,,,,,
10-Sep-25,MICKEY AND MINNIE CLOTHING,PSB2526/INV-1062,PSB2526/INV-1062,Being Sale of Goods - Accounted,31 Pr,,40891.00,48251.00 Dr,40891.00 Cr,,0.38 Dr,3680.19 Cr,3680.19 Cr,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,5 Pr,1273.00/Pr,6365.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,5 Pr,1273.00/Pr,6365.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,5 Pr,1273.00/Pr,6365.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,5 Pr,1375.00/Pr,6875.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,5 Pr,1375.00/Pr,6875.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - White,,,,2 Pr,1273.00/Pr,2546.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - White,,,,2 Pr,1375.00/Pr,2750.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - White,,,,2 Pr,1375.00/Pr,2750.00,,,,,,,,,,,,,,,,,,,,,,
10-Sep-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1063,PSB2526/INV-1063,Being Sale of Goods - Accounted,208 Pr,,161958.64,181394.00 Dr,161958.64 Cr,,0.35 Cr,,,19435.01 Cr,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 C) - Black,,,,6 Pr,660.71/Pr,3964.26,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,6 Pr,660.71/Pr,3964.26,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,10 Pr,660.71/Pr,6607.10,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,10 Pr,660.71/Pr,6607.10,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,10 Pr,660.71/Pr,6607.10,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,10 Pr,660.71/Pr,6607.10,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,14 Pr,660.71/Pr,9249.94,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,31 Pr,813.39/Pr,25215.09,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,30 Pr,813.39/Pr,24401.70,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,17 Pr,813.39/Pr,13827.63,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,8 Pr,813.39/Pr,6507.12,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,16 Pr,864.29/Pr,13828.64,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,16 Pr,864.29/Pr,13828.64,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,10 Pr,864.29/Pr,8642.90,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,11 Pr,864.29/Pr,9507.19,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 UK) - Black,,,,1 Pr,864.29/Pr,864.29,,,,,,,,,,,,,,,,,,,,,,
11-Sep-25,SAI ANUGRAHA TRADERS,PSB2526/INV-1064,PSB2526/INV-1064,Being Sale of Goods - Accounted,2 Pr,,2250.00,2655.00 Dr,2250.00 Cr,,,,,,,,405.00 Cr,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - White,,,,2 Pr,1125.00/Pr,2250.00,,,,,,,,,,,,,,,,,,,,,,
11-Sep-25,Sharanya Narayani International School,PSB2526/INV-1065,PSB2526/INV-1065,Being Sale of Goods - Accounted,7 Pr,,10672.06,12593.00 Dr,10672.06 Cr,,,960.47 Cr,960.47 Cr,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,1 Pr,1524.58/Pr,1524.58,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,1 Pr,1524.58/Pr,1524.58,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 US) - Black,,,,2 Pr,1524.58/Pr,3049.16,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - White,,,,1 Pr,1524.58/Pr,1524.58,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,1 Pr,1524.58/Pr,1524.58,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 US) - White,,,,1 Pr,1524.58/Pr,1524.58,,,,,,,,,,,,,,,,,,,,,,
11-Sep-25,NYAS SERVICES,PSB2526/INV-1066,PSB2526/INV-1066,Being Sale of Goods - Accounted,4 Pr,,5555.94,6556.00 Dr,5555.94 Cr,,0.02 Dr,,,,,,1000.08 Cr,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,1 Pr,1338.14/Pr,1338.14,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,1 Pr,1338.14/Pr,1338.14,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,1 Pr,1439.83/Pr,1439.83,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,1 Pr,1439.83/Pr,1439.83,,,,,,,,,,,,,,,,,,,,,,
11-Sep-25,SAI ANUGRAHA TRADERS,PSB2526/INV-1067,PSB2526/INV-1067,Being Sale of Goods - Accounted,9 Pr,,10755.00,12691.00 Dr,10755.00 Cr,,0.10 Cr,,,,,,1935.90 Cr,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,2 Pr,1125.00/Pr,2250.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,5 Pr,1215.00/Pr,6075.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,2 Pr,1215.00/Pr,2430.00,,,,,,,,,,,,,,,,,,,,,,
12-Sep-25,Walk-King Shoe Company,PSB2526/INV-1068,PSB2526/INV-1068,Being Sale of Goods - Accounted,2 Pr,,2829.00,3338.00 Dr,2829.00 Cr,,0.22 Dr,,,,,,509.22 Cr,,,,,,,,,,,,
,Reebok Champion Shoe (Size 13 C) - Black,,,,1 Pr,1353.00/Pr,1353.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 08 US) - Black,,,,1 Pr,1476.00/Pr,1476.00,,,,,,,,,,,,,,,,,,,,,,
12-Sep-25,"DAC'S INC .,",PSB2526/INV-1069,PSB2526/INV-1069,Being Sale of Goods - Accounted,85 Pr,,17850.00,18743.00 Dr,17850.00 Cr,,0.50 Cr,,,,,,,,446.25 Cr,446.25 Cr,,,,,,,,,
,Sri Vani Navy Blue Crew Length Socks (P/3) - S,,,,35 Pr,210.00/Pr,7350.00,,,,,,,,,,,,,,,,,,,,,,
,Sri Vani Navy Blue Crew Length Socks (P/3) - M,,,,50 Pr,210.00/Pr,10500.00,,,,,,,,,,,,,,,,,,,,,,
13-Sep-25,SAI ANUGRAHA TRADERS,PSB2526/INV-1070,PSB2526/INV-1070,Being Sale of Goods - Accounted,4 Pr,,3600.00,4032.00 Dr,3600.00 Cr,,,,,432.00 Cr,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,4 Pr,900.00/Pr,3600.00,,,,,,,,,,,,,,,,,,,,,,
13-Sep-25,Edunovel Solutions Pvt Ltd,PSB2526/INV-1071,PSB2526/INV-1071,Being Sale of Goods - Accounted,16 Pr,,22282.99,26294.00 Dr,22282.99 Cr,,0.05 Cr,2005.48 Cr,2005.48 Cr,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,2 Pr,1372.03/Pr,2744.06,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,3 Pr,1372.03/Pr,4116.09,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,7 Pr,1372.03/Pr,9604.21,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,1 Pr,1372.03/Pr,1372.03,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,1 Pr,1482.20/Pr,1482.20,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,1 Pr,1482.20/Pr,1482.20,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,1 Pr,1482.20/Pr,1482.20,,,,,,,,,,,,,,,,,,,,,,
15-Sep-25,Walk-King Shoe Company,PSB2526/INV-1072,PSB2526/INV-1072,Being Sale of Goods - Accounted,6 Pr,,8856.00,10450.00 Dr,8856.00 Cr,,0.08 Dr,,,,,,1594.08 Cr,,,,,,,,,,,,
,Reebok Champion Shoe (Size 10 US) - Black,,,,2 Pr,1476.00/Pr,2952.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Champion Shoe (Size 12 US) - Black,,,,4 Pr,1476.00/Pr,5904.00,,,,,,,,,,,,,,,,,,,,,,
16-Sep-25,Scholar Clothing Co.,PSB2526/INV-1073,PSB2526/INV-1073,Being Sale of Goods - Accounted,1 Pr,,1296.00,1529.00 Dr,1296.00 Cr,,0.28 Dr,116.64 Cr,116.64 Cr,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,1 Pr,1296.00/Pr,1296.00,,,,,,,,,,,,,,,,,,,,,,
16-Sep-25,Unipro (S),PSB2526/INV-1074,PSB2526/INV-1074,Being Sale of Goods - Accounted,4 Pr,,4860.00,5735.00 Dr,4860.00 Cr,,0.20 Cr,437.40 Cr,437.40 Cr,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,4 Pr,1215.00/Pr,4860.00,,,,,,,,,,,,,,,,,,,,,,
16-Sep-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1075,PSB2526/INV-1075,Being Sale of Goods - Accounted,19 Pr,,12553.49,14060.00 Dr,12553.49 Cr,,0.09 Cr,,,1506.42 Cr,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,19 Pr,660.71/Pr,12553.49,,,,,,,,,,,,,,,,,,,,,,
17-Sep-25,GoScholar,PSB2526/INV-1076,PSB2526/INV-1076,Being Sale of Goods - Accounted,13 Pr,,15743.00,18519.00 Dr,15743.00 Cr,,0.20 Dr,,,115.08 Cr,,,2661.12 Cr,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,1 Pr,959.00/Pr,959.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,3 Pr,1200.00/Pr,3600.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,4 Pr,1200.00/Pr,4800.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,1 Pr,1200.00/Pr,1200.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,1 Pr,1296.00/Pr,1296.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,2 Pr,1296.00/Pr,2592.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,1 Pr,1296.00/Pr,1296.00,,,,,,,,,,,,,,,,,,,,,,
17-Sep-25,GoScholar,PSB2526/INV-1077,PSB2526/INV-1077,Being Sale of Goods - Accounted,2 Pr,,1794.00,2009.00 Dr,1794.00 Cr,,0.28 Dr,,,215.28 Cr,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,1 Pr,897.00/Pr,897.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,1 Pr,897.00/Pr,897.00,,,,,,,,,,,,,,,,,,,,,,
17-Sep-25,"Miners Pocket Books Pvt Ltd.,",PSB2526/INV-1078,PSB2526/INV-1078,Being Sale of Goods - Accounted,30 Pr,,6089.30,8020.00 Dr,6089.30 Cr,,0.02 Dr,,,859.29 Cr,,,,,,,1071.43 Cr,,,,,,,,
,Paragon Sandals (Size 8 K),,,,5 Pr,193.75/Pr,968.75,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 9 K),,,,5 Pr,193.75/Pr,968.75,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 10 K),,,,5 Pr,193.75/Pr,968.75,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 11 K),,,,5 Pr,193.75/Pr,968.75,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 12 K),,,,5 Pr,221.43/Pr,1107.15,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 13 K),,,,5 Pr,221.43/Pr,1107.15,,,,,,,,,,,,,,,,,,,,,,
17-Sep-25,"Miners Pocket Books Pvt Ltd.,",PSB2526/INV-1079,PSB2526/INV-1079,Being Sale of Goods - Accounted,47 Pr,,9521.45,11264.00 Dr,9521.45 Cr,,0.02 Dr,,,1206.86 Cr,,,,,,,535.71 Cr,,,,,,,,
,Paragon Sandals (Size 8 K),,,,6 Pr,193.75/Pr,1162.50,,,,,,,,,,,,,,,,,,,,,,
,Paragon Sandals (Size 9 K),,,,6 Pr,193.75/Pr,1162.50,,,,,,,,,,,,,,,,,,,,,,
