Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output CGST @ 9%,Output SGST @ 9%,Round Off,Output CGST @ 2.5%,Output SGST @ 2.5%,Output CGST @ 6%,Output SGST @ 6%,Input CGST @ 2.5%,Input SGST @ 2.5%,Output IGST @ 18%,Output IGST @ 5%,Output IGST @ 12%,Input IGST @ 12%,Input IGST @ 18%,Shipping Interstate GST @ 18%,Local GST Sales @ 5%,Local GST Sales @ 12%,Local GST Sales @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%
,Plaeto Nova School Shoes (Size 06 UK) - White,,,,1 Pr,1322.51/Pr,1322.51,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - White,,,,1 Pr,1322.51/Pr,1322.51,,,,,,,,,,,,,,,,,,,,,,,
05-Jun-25,R M SURESH & CO,PSB25-26/INV-490,PSB25-26/INV-490,Being Sale of Goods - Accounted,5 Pr,,4617.50,5172.00 Dr,4617.50 Cr,,,0.40 Cr,,,277.05 Cr,277.05 Cr,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,1 Pr,879.50/Pr,879.50,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,2 Pr,934.50/Pr,1869.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,1 Pr,934.50/Pr,934.50,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - White,,,,1 Pr,934.50/Pr,934.50,,,,,,,,,,,,,,,,,,,,,,,
05-Jun-25,RAKHRA THE SPORTS HOUSE,PSB25-26/INV-491,PSB25-26/INV-491,Being Sale of Goods - Accounted,2 Pr,,2348.50,2711.00 Dr,2348.50 Cr,121.46 Cr,121.46 Cr,0.30 Dr,,,59.94 Cr,59.94 Cr,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,1 Pr,999.00/Pr,999.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - White,,,,1 Pr,1349.50/Pr,1349.50,,,,,,,,,,,,,,,,,,,,,,,
05-Jun-25,Deena Uniforms (S),PSB25-26/INV-492,PSB25-26/INV-492,Being Sale of Goods - Accounted,,,3732.00,4256.00 Dr,3732.00 Cr,233.28 Cr,233.28 Cr,0.44 Cr,28.50 Cr,28.50 Cr,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 C) - Black,,,,1 Pr,1296.00/Pr,1296.00,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,1 Pr,1296.00/Pr,1296.00,,,,,,,,,,,,,,,,,,,,,,,
,Kumaran ICSE HALF PANT (Grey Check) -14L,,,,2 Pcs,250.00/Pcs,500.00,,,,,,,,,,,,,,,,,,,,,,,
,Plain White Crew Length Socks (P/1) - XS,,,,2 Pr,50.00/Pr,100.00,,,,,,,,,,,,,,,,,,,,,,,
,Kumaran Grey Melange Semi Crew Socks (P/1) - S,,,,4 Pr,50.00/Pr,200.00,,,,,,,,,,,,,,,,,,,,,,,
,Kumaran White Semi Crew Socks (P/1) - S,,,,2 Pr,50.00/Pr,100.00,,,,,,,,,,,,,,,,,,,,,,,
,Kumaran ICSE Polo T Shirt - White (Size 28),,,,1 Pcs,240.00/Pcs,240.00,,,,,,,,,,,,,,,,,,,,,,,
05-Jun-25,R M SURESH & CO,PSB25-26/INV-493,PSB25-26/INV-493,Being Sale of Goods - Accounted,352 Pr,,317394.00,355481.00 Dr,317394.00 Cr,,,0.28 Dr,,,19043.64 Cr,19043.64 Cr,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,3 Pr,714.50/Pr,2143.50,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,6 Pr,714.50/Pr,4287.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,7 Pr,714.50/Pr,5001.50,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,26 Pr,879.50/Pr,22867.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,39 Pr,879.50/Pr,34300.50,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,39 Pr,879.50/Pr,34300.50,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,42 Pr,879.50/Pr,36939.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,53 Pr,934.50/Pr,49528.50,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,73 Pr,934.50/Pr,68218.50,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,3 Pr,934.50/Pr,2803.50,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,26 Pr,934.50/Pr,24297.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,17 Pr,934.50/Pr,15886.50,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,11 Pr,934.50/Pr,10279.50,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,7 Pr,934.50/Pr,6541.50,,,,,,,,,,,,,,,,,,,,,,,
05-Jun-25,Bhavya Jain,PSB25-26/INV-494,PSB25-26/INV-494,Being Sale of Goods - Accounted,2 Pr,,2.00,2.00 Dr,2.00 Cr,,,0.24 Dr,,,0.12 Cr,0.12 Cr,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,,,
05-Jun-25,Bishop Cotton Girls' School,PSB25-26/INV-495,PSB25-26/INV-495,Being Sale of Goods - Accounted,6 Pr,,6.00,7.00 Dr,6.00 Cr,,,0.28 Cr,,,0.36 Cr,0.36 Cr,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - White,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - White,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - White,,,,1 Pr,1.00/Pr,1.00,,,,,,,,,,,,,,,,,,,,,,,
05-Jun-25,Siya Enterprises,PSB25-26/INV-496,PSB25-26/INV-496,Being Sale of Goods - Accounted,136 Pr,,160447.00,188540.00 Dr,160447.00 Cr,13258.35 Cr,13258.35 Cr,0.46 Cr,,,787.92 Cr,787.92 Cr,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - White,,,,4 Pr,938.00/Pr,3752.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - White,,,,5 Pr,938.00/Pr,4690.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - White,,,,5 Pr,938.00/Pr,4690.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - White,,,,28 Pr,1165.00/Pr,32620.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - White,,,,15 Pr,1165.00/Pr,17475.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - White,,,,10 Pr,1165.00/Pr,11650.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - White,,,,8 Pr,1165.00/Pr,9320.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - White,,,,12 Pr,1250.00/Pr,15000.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - White,,,,18 Pr,1250.00/Pr,22500.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - White,,,,9 Pr,1250.00/Pr,11250.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - White,,,,10 Pr,1250.00/Pr,12500.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 UK) - White,,,,12 Pr,1250.00/Pr,15000.00,,,,,,,,,,,,,,,,,,,,,,,
06-Jun-25,"Lighthouse Learning Pvt Ltd.,",PSB25-26/INV-497,PSB25-26/INV-497,Being Sale of Goods - Accounted,1425 Pr,,1680255.00,1955188.00 Dr,1680255.00 Cr,,,0.44 Dr,,,,,,,219908.52 Cr,,55024.92 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 C) - Grey / Blue,,,,5 Pr,999.00/Pr,4995.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Grey / Blue,,,,141 Pr,999.00/Pr,140859.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Grey / Blue,,,,179 Pr,999.00/Pr,178821.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Grey / Blue,,,,134 Pr,999.00/Pr,133866.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Grey / Blue,,,,90 Pr,1211.00/Pr,108990.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Grey / Blue,,,,108 Pr,1211.00/Pr,130788.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Grey / Blue,,,,108 Pr,1211.00/Pr,130788.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Grey / Blue,,,,108 Pr,1211.00/Pr,130788.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Grey / Blue,,,,108 Pr,1305.00/Pr,140940.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Grey / Blue,,,,96 Pr,1305.00/Pr,125280.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Grey / Blue,,,,108 Pr,1305.00/Pr,140940.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Grey / Blue,,,,96 Pr,1305.00/Pr,125280.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Grey / Blue,,,,48 Pr,1305.00/Pr,62640.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Grey / Blue,,,,48 Pr,1305.00/Pr,62640.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Grey / Blue,,,,48 Pr,1305.00/Pr,62640.00,,,,,,,,,,,,,,,,,,,,,,,
06-Jun-25,"Lighthouse Learning Pvt Ltd.,",PSB25-26/INV-498,PSB25-26/INV-498,Being Sale of Goods - Accounted,15 Pr,,19575.00,23099.00 Dr,19575.00 Cr,,,0.50 Cr,,,,,,,3523.50 Cr,,,,,,,,,,,
,Plaeto Nova BBCP Shoes (Size 12 UK) - Black,,,,15 Pr,1305.00/Pr,19575.00,,,,,,,,,,,,,,,,,,,,,,,
06-Jun-25,R M SURESH & CO,PSB25-26/INV-499,PSB25-26/INV-499,Being Sale of Goods - Accounted,69 Pr,,64315.50,72033.00 Dr,64315.50 Cr,,,0.36 Dr,,,3858.93 Cr,3858.93 Cr,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,3 Pr,879.50/Pr,2638.50,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,12 Pr,934.50/Pr,11214.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,12 Pr,934.50/Pr,11214.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,36 Pr,934.50/Pr,33642.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 UK) - Black,,,,6 Pr,934.50/Pr,5607.00,,,,,,,,,,,,,,,,,,,,,,,
06-Jun-25,Siya Enterprises,PSB25-26/INV-500,PSB25-26/INV-500,Being Sale of Goods - Accounted,382 Pr,,358316.00,401314.00 Dr,358316.00 Cr,,,0.08 Cr,,,21498.96 Cr,21498.96 Cr,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - White,,,,104 Pr,938.00/Pr,97552.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - White,,,,103 Pr,938.00/Pr,96614.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - White,,,,175 Pr,938.00/Pr,164150.00,,,,,,,,,,,,,,,,,,,,,,,
06-Jun-25,GoScholar,PSB25-26/INV-501,PSB25-26/INV-501,Being Sale of Goods - Accounted,824 Pr,,160680.00,168714.00 Dr,160680.00 Cr,,,,,,,,,,,8034.00 Cr,,,,,,,,,,
,Stem White with Grey Ankle Length Socks (P/3) - XS,,,,89 Pr,195.00/Pr,17355.00,,,,,,,,,,,,,,,,,,,,,,,
,Stem White with Grey Ankle Length Socks (P/3) - S,,,,230 Pr,195.00/Pr,44850.00,,,,,,,,,,,,,,,,,,,,,,,
,Stem White with Grey Ankle Length Socks (P/3) - M,,,,265 Pr,195.00/Pr,51675.00,,,,,,,,,,,,,,,,,,,,,,,
,Stem White with Grey Ankle Length Socks (P/3) - L,,,,240 Pr,195.00/Pr,46800.00,,,,,,,,,,,,,,,,,,,,,,,
06-Jun-25,GoScholar,PSB25-26/INV-502,PSB25-26/INV-502,Being Sale of Goods - Accounted,588 Pr,,69384.00,72853.00 Dr,69384.00 Cr,,,0.20 Dr,,,,,,,,3469.20 Cr,,,,,,,,,,
,Stem White with Grey Crew Length Socks (P/2) - S,,,,175 Pr,118.00/Pr,20650.00,,,,,,,,,,,,,,,,,,,,,,,
,Stem White with Grey Crew Length Socks (P/2) - M,,,,233 Pr,118.00/Pr,27494.00,,,,,,,,,,,,,,,,,,,,,,,
,Stem White with Grey Crew Length Socks (P/2) - L,,,,180 Pr,118.00/Pr,21240.00,,,,,,,,,,,,,,,,,,,,,,,
06-Jun-25,GoScholar,PSB25-26/INV-503,PSB25-26/INV-503,Being Sale of Goods - Accounted,660 Pr,,85800.00,90090.00 Dr,85800.00 Cr,,,,,,,,,,,4290.00 Cr,,,,,,,,,,
,NGIS Grey Melange Ankle Socks (P/2) - S,,,,230 Pr,130.00/Pr,29900.00,,,,,,,,,,,,,,,,,,,,,,,
,NGIS Grey Melange Ankle Socks (P/2) - M,,,,280 Pr,130.00/Pr,36400.00,,,,,,,,,,,,,,,,,,,,,,,
,NGIS Grey Melange Ankle Socks (P/2) - L,,,,150 Pr,130.00/Pr,19500.00,,,,,,,,,,,,,,,,,,,,,,,
06-Jun-25,R.V. INTERNATIONAL SCHOOL,PSB25-26/INV-504,PSB25-26/INV-504,Being Sale of Goods - Accounted,9 Pr,,9633.94,11071.00 Dr,9633.94 Cr,421.47 Cr,421.47 Cr,0.02 Cr,,,297.05 Cr,297.05 Cr,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,1 Pr,990.18/Pr,990.18,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,2 Pr,990.18/Pr,1980.36,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,2 Pr,1151.69/Pr,2303.38,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - White,,,,1 Pr,990.18/Pr,990.18,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - White,,,,1 Pr,990.18/Pr,990.18,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - White,,,,1 Pr,1151.69/Pr,1151.69,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - White,,,,1 Pr,1227.97/Pr,1227.97,,,,,,,,,,,,,,,,,,,,,,,
06-Jun-25,MICKEY AND MINNIE CLOTHING,PSB25-26/INV-505,PSB25-26/INV-505,Being Sale of Goods - Accounted,20 Pr,,21650.00,25547.00 Dr,21650.00 Cr,1948.50 Cr,1948.50 Cr,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,5 Pr,1019.00/Pr,5095.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,5 Pr,1019.00/Pr,5095.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,5 Pr,1019.00/Pr,5095.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,5 Pr,1273.00/Pr,6365.00,,,,,,,,,,,,,,,,,,,,,,,
06-Jun-25,MICKEY AND MINNIE CLOTHING,PSB25-26/INV-506,PSB25-26/INV-506,Being Sale of Goods - Accounted,3 Pr,,3744.00,4418.00 Dr,3744.00 Cr,336.96 Cr,336.96 Cr,0.08 Cr,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,1 Pr,1019.00/Pr,1019.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - White,,,,1 Pr,1375.00/Pr,1375.00,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,1 Pr,1350.00/Pr,1350.00,,,,,,,,,,,,,,,,,,,,,,,
07-Jun-25,(cancelled ),PSB25-26/INV-507,PSB25-26/INV-507,Being Sale of Goods - Accounted,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Jun-25,MICKEY AND MINNIE CLOTHING,PSB25-26/INV-508,PSB25-26/INV-508,Being Sale of Goods - Accounted,4 Pr,,5400.00,6372.00 Dr,5400.00 Cr,486.00 Cr,486.00 Cr,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 C) - Black,,,,3 Pr,1350.00/Pr,4050.00,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,1 Pr,1350.00/Pr,1350.00,,,,,,,,,,,,,,,,,,,,,,,
07-Jun-25,MICKEY AND MINNIE CLOTHING,PSB25-26/INV-509,PSB25-26/INV-509,Being Sale of Goods - Accounted,2 Pr,,2700.00,3186.00 Dr,2700.00 Cr,243.00 Cr,243.00 Cr,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,1 Pr,1350.00/Pr,1350.00,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - White,,,,1 Pr,1350.00/Pr,1350.00,,,,,,,,,,,,,,,,,,,,,,,
07-Jun-25,Unipro (S),PSB25-26/INV-510,PSB25-26/INV-510,Being Sale of Goods - Accounted,45 Pr,,56565.00,66747.00 Dr,56565.00 Cr,5090.85 Cr,5090.85 Cr,0.30 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,5 Pr,1215.00/Pr,6075.00,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,5 Pr,1215.00/Pr,6075.00,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,6 Pr,1215.00/Pr,7290.00,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,5 Pr,1215.00/Pr,6075.00,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,3 Pr,1350.00/Pr,4050.00,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,4 Pr,1350.00/Pr,5400.00,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 C) - White,,,,2 Pr,1215.00/Pr,2430.00,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - White,,,,8 Pr,1215.00/Pr,9720.00,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - White,,,,5 Pr,1350.00/Pr,6750.00,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 US) - White,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,,,
07-Jun-25,Sunshine Enterprises,PSB25-26/INV-511,PSB25-26/INV-511,Being Sale of Goods - Accounted,275 Pr,,233275.00,261268.00 Dr,233275.00 Cr,,,,,,13996.50 Cr,13996.50 Cr,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,10 Pr,701.00/Pr,7010.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,25 Pr,701.00/Pr,17525.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,25 Pr,701.00/Pr,17525.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,30 Pr,863.00/Pr,25890.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,30 Pr,863.00/Pr,25890.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,25 Pr,863.00/Pr,21575.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,25 Pr,863.00/Pr,21575.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,30 Pr,917.00/Pr,27510.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,25 Pr,917.00/Pr,22925.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,10 Pr,917.00/Pr,9170.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,20 Pr,917.00/Pr,18340.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,10 Pr,917.00/Pr,9170.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,5 Pr,917.00/Pr,4585.00,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,5 Pr,917.00/Pr,4585.00,,,,,,,,,,,,,,,,,,,,,,,
07-Jun-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-512,PSB25-26/INV-512,Being Sale of Goods - Accounted,4 Pr,,5797.46,6841.00 Dr,5797.46 Cr,521.78 Cr,521.78 Cr,0.02 Dr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,
07-Jun-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-513,PSB25-26/INV-513,Being Sale of Goods - Accounted,3 Pr,,4456.77,5259.00 Dr,4456.77 Cr,401.11 Cr,401.11 Cr,0.01 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,1 Pr,1485.59/Pr,1485.59,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,2 Pr,1485.59/Pr,2971.18,,,,,,,,,,,,,,,,,,,,,,,
07-Jun-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-514,PSB25-26/INV-514,Being Sale of Goods - Accounted,25 Pr,,36463.55,43027.00 Dr,36463.55 Cr,3281.71 Cr,3281.71 Cr,0.03 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 01 Y) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,4 Pr,1437.29/Pr,5749.16,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,2 Pr,1437.29/Pr,2874.58,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,3 Pr,1437.29/Pr,4311.87,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,3 Pr,1485.59/Pr,4456.77,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,4 Pr,1485.59/Pr,5942.36,,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,4 Pr,1485.59/Pr,5942.36,,,,,,,,,,,,,,,,,,,,,,,
07-Jun-25,Nspira Management Services Pvt. Ltd (B),PSB25-26/INV-515,PSB25-26/INV-515,Being Sale of Goods - Accounted,3 Pr,,4408.47,5202.00 Dr,4408.47 Cr,396.76 Cr,396.76 Cr,0.01 Cr,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,1 Pr,1437.29/Pr,1437.29,,,,,,,,,,,,,,,,,,,,,,,
