Store ID,Store,Region,Order ID,Reference Order ID,Invoice Number,Product ID,Order Sub ID,Date,Order Time,Product,Size,Category,Brand,Sub Category,Income Head,Barcode,SKU,Batch Variant ID,Batch Variant Name,HSN / SAC Code,Quantity Ordered,Unit,Base Price ,Net Sale ,Taxes ,Amount,Void Amount ,MRP ,Cost Price per Unit,Cost Of Goods Sold,Void Quantity,Void Date,Void Time,User,Billing User,Manufacturer ID,Manufacturer,Discount Total Value,Discount Remarks,Discount IDs,Discount Names,Coupon Code,Total Charge Value,Payment Mode,Color,School Name
49444,Brigade _ Mahadevpura,,OR11312220250501-1,,1,224,1,01-05-2025,9:46 AM,PLAT_BLK_UK4,4UK,none,Plaeto,,,,PLAT_BLK_UK4,-1,,640419,1,Piece,1482.2,1482.2,266.8,1749,,2499,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,UPI,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-2,,2,221,1,01-05-2025,9:51 AM,PLAT_BLK_UK1,1UK,none,Plaeto,,,,PLAT_BLK_UK1,-1,,640419,1,Piece,1482.2,1482.2,266.8,1749,,2499,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,Card,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-2,,2,227,2,01-05-2025,9:51 AM,PLAT_BLK_UK7,7UK,none,Plaeto,,,,PLAT_BLK_UK7,-1,,640419,1,Piece,1609.32,1609.32,289.68,1899,,2699,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,Card,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-3,,3,219,1,01-05-2025,9:57 AM,PLAT_BLK_12C,12C,none,Plaeto,,,,PLAT_BLK_12C,-1,,640419,1,Piece,1185.59,1185.59,213.4,1398.99,,1999,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,UPI,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-4,,4,226,1,01-05-2025,10:12 AM,PLAT_BLK_UK6,6UK,none,Plaeto,,,,PLAT_BLK_UK6,-1,,640419,2,Piece,1609.32,3218.64,579.36,3798,,2699,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,Card,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-4,,4,227,2,01-05-2025,10:12 AM,PLAT_BLK_UK7,7UK,none,Plaeto,,,,PLAT_BLK_UK7,-1,,640419,2,Piece,1609.32,3218.64,579.36,3798,,2699,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,Card,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-5,,5,218,1,01-05-2025,10:16 AM,PLAT_BLK_11C,11C,none,Plaeto,,,,PLAT_BLK_11C,-1,,640419,1,Piece,1185.59,1185.59,213.4,1398.99,,1999,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,Card,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-6,,6,231,1,01-05-2025,10:21 AM,PLAT_BLK_UK11,11UK,none,Plaeto,,,,PLAT_BLK_UK11,-1,,640419,1,Piece,1609.32,1609.32,289.68,1899,,2699,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,UPI,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-7,,7,222,1,01-05-2025,10:27 AM,PLAT_BLK_UK2,2UK,none,Plaeto,,,,PLAT_BLK_UK2,-1,,640419,1,Piece,1482.2,1482.2,266.8,1749,,2499,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,UPI,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-8,,8,220,1,01-05-2025,10:30 AM,PLAT_BLK_13C,13C,none,Plaeto,,,,PLAT_BLK_13C,-1,,640419,1,Piece,1185.59,1185.59,213.4,1398.99,,1999,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,Card,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-9,,9,220,1,01-05-2025,10:35 AM,PLAT_BLK_13C,13C,none,Plaeto,,,,PLAT_BLK_13C,-1,,640419,1,Piece,1185.59,1185.59,213.4,1398.99,,1999,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,Card,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-9,,9,221,2,01-05-2025,10:35 AM,PLAT_BLK_UK1,1UK,none,Plaeto,,,,PLAT_BLK_UK1,-1,,640419,1,Piece,1482.2,1482.2,266.8,1749,,2499,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,Card,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-10,,10,220,1,01-05-2025,10:41 AM,PLAT_BLK_13C,13C,none,Plaeto,,,,PLAT_BLK_13C,-1,,640419,1,Piece,1185.59,1185.59,213.4,1398.99,,1999,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,Card,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-11,,11,216,1,01-05-2025,10:47 AM,PLAT_BLK_9C,9C,none,Plaeto,,,,PLAT_BLK_9C,-1,,640419,1,Piece,1185.59,1185.59,213.4,1398.99,,1999,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,UPI,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-12,,12,227,1,01-05-2025,10:55 AM,PLAT_BLK_UK7,7UK,none,Plaeto,,,,PLAT_BLK_UK7,-1,,640419,1,Piece,1609.32,1609.32,289.68,1899,,2699,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,Card,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-13,,13,227,1,01-05-2025,10:59 AM,PLAT_BLK_UK7,7UK,none,Plaeto,,,,PLAT_BLK_UK7,-1,,640419,1,Piece,1609.32,1609.32,289.68,1899,,2699,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,UPI,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-14,,14,220,1,01-05-2025,11:04 AM,PLAT_BLK_13C,13C,none,Plaeto,,,,PLAT_BLK_13C,-1,,640419,1,Piece,1185.59,1185.59,213.4,1398.99,,1999,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,UPI,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-15,,15,224,1,01-05-2025,11:08 AM,PLAT_BLK_UK4,4UK,none,Plaeto,,,,PLAT_BLK_UK4,-1,,640419,1,Piece,1482.2,1482.2,266.8,1749,,2499,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,UPI,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-16,,16,225,1,01-05-2025,11:12 AM,PLAT_BLK_UK5,5UK,none,Plaeto,,,,PLAT_BLK_UK5,-1,,640419,1,Piece,1609.32,1609.32,289.68,1899,,2699,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,UPI,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-17,,17,222,1,01-05-2025,11:19 AM,PLAT_BLK_UK2,2UK,none,Plaeto,,,,PLAT_BLK_UK2,-1,,640419,1,Piece,1482.2,1482.2,266.8,1749,,2499,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,UPI,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-18,,18,227,1,01-05-2025,11:25 AM,PLAT_BLK_UK7,7UK,none,Plaeto,,,,PLAT_BLK_UK7,-1,,640419,1,Piece,1609.32,1609.32,289.68,1899,,2699,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,Card,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-19,,19,219,1,01-05-2025,11:28 AM,PLAT_BLK_12C,12C,none,Plaeto,,,,PLAT_BLK_12C,-1,,640419,1,Piece,1185.59,1185.59,213.4,1398.99,,1999,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,Card,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-20,,20,219,1,01-05-2025,11:31 AM,PLAT_BLK_12C,12C,none,Plaeto,,,,PLAT_BLK_12C,-1,,640419,1,Piece,1185.59,1185.59,213.4,1398.99,,1999,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,UPI,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-21,,21,220,1,01-05-2025,11:35 AM,PLAT_BLK_13C,13C,none,Plaeto,,,,PLAT_BLK_13C,-1,,640419,1,Piece,1185.59,1185.59,213.4,1398.99,,1999,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,UPI,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-22,,22,219,1,01-05-2025,11:43 AM,PLAT_BLK_12C,12C,none,Plaeto,,,,PLAT_BLK_12C,-1,,640419,1,Piece,1185.59,1185.59,213.4,1398.99,,1999,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,UPI,Black,
87093,Vivek Tailor Whitefield,,OR11268620250501-12,,12,3696,1,01-05-2025,11:46 AM,NPS_WHTF_REBK_PROD_BLK_1US,1US,NPS WHITEFILED,Reebok,,,,NPS_WHTF_REBK_PROD_BLK_1US,-1,,,1,Piece,1948.31,1948.31,350.7,2299.01,,2699,0,0,0,,,vivek_whtf,vivek_whtf,-1,,0,,,,,0,Card,Black,NPS WHITEFILED
87093,Vivek Tailor Whitefield,,OR11268620250501-12,,12,3714,2,01-05-2025,11:46 AM,NPS_WHTF_REBK_PROD_WHT_1US,1US,NPS WHITEFILED,Reebok,,,,NPS_WHTF_REBK_PROD_WHT_1US,-1,,,1,Piece,1948.31,1948.31,350.7,2299.01,,2699,0,0,0,,,vivek_whtf,vivek_whtf,-1,,0,,,,,0,Card,White,NPS WHITEFILED
49444,Brigade _ Mahadevpura,,OR11312220250501-23,,23,216,1,01-05-2025,11:48 AM,PLAT_BLK_9C,9C,none,Plaeto,,,,PLAT_BLK_9C,-1,,640419,1,Piece,1185.59,1185.59,213.4,1398.99,,1999,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,Card,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-24,,24,226,1,01-05-2025,11:52 AM,PLAT_BLK_UK6,6UK,none,Plaeto,,,,PLAT_BLK_UK6,-1,,640419,1,Piece,1609.32,1609.32,289.68,1899,,2699,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,Card,Black,
49444,Brigade _ Mahadevpura,,OR11312220250501-25,,25,219,1,01-05-2025,11:56 AM,PLAT_BLK_12C,12C,none,Plaeto,,,,PLAT_BLK_12C,-1,,640419,1,Piece,1185.59,1185.59,213.4,1398.99,,1999,0,0,0,,,mhbrigade,mhbrigade,-1,,0,,,,,0,Card,Black,
